StartTime_[LST],EndTime_[LST],ethane_[ppbV],ethane_Flags,ethylene_[ppbV],ethylene_Flags,propane_[ppbV],propane_Flags,propylene_[ppbV],propylene_Flags,isobutane_[ppbV],isobutane_Flags,n-butane_[ppbV],n-butane_Flags,trans-2-butene_[ppbV],trans-2-butene_Flags,1-butene_[ppbV],1-butene_Flags,cis-2-butene_[ppbV],cis-2-butene_Flags,cyclopentane_[ppbV],cyclopentane_Flags,isopentane_[ppbV],isopentane_Flags,n-pentane_[ppbV],n-pentane_Flags,"1,3-butadiene_[ppbV]","1,3-butadiene_Flags",trans-2-pentene_[ppbV],trans-2-pentene_Flags,1-pentene_[ppbV],1-pentene_Flags,cis-2-pentene_[ppbV],cis-2-pentene_Flags,"2,2-dimethyl-butane_[ppbV]","2,2-dimethyl-butane_Flags","2,3-dimethyl-butane_[ppbV]","2,3-dimethyl-butane_Flags",2-methyl-pentane_[ppbV],2-methyl-pentane_Flags,3-methyl-pentane_[ppbV],3-methyl-pentane_Flags,isoprene_[ppbV],isoprene_Flags,n-hexane_[ppbV],n-hexane_Flags,methyl-cyclopentane_[ppbV],methyl-cyclopentane_Flags,"2,4-dimethyl-pentane_[ppbV]","2,4-dimethyl-pentane_Flags",benzene_[ppbV],benzene_Flags,cyclohexane_[ppbV],cyclohexane_Flags,2-methyl-hexane_[ppbV],2-methyl-hexane_Flags,"2,3-dimethyl-pentane_[ppbV]","2,3-dimethyl-pentane_Flags",3-methyl-hexane_[ppbV],3-methyl-hexane_Flags,"2,2,4-trimethyl-pentane_[ppbV]","2,2,4-trimethyl-pentane_Flags",n-heptane_[ppbV],n-heptane_Flags,methyl-cyclohexane_[ppbV],methyl-cyclohexane_Flags,"2,3,4-trimethyl-pentane_[ppbV]","2,3,4-trimethyl-pentane_Flags",toluene_[ppbV],toluene_Flags,2-methyl-heptane_[ppbV],2-methyl-heptane_Flags,3-methyl-heptane_[ppbV],3-methyl-heptane_Flags,n-octane_[ppbV],n-octane_Flags,ethyl-benzene_[ppbV],ethyl-benzene_Flags,"m,p-xylene_[ppbV]","m,p-xylene_Flags",styrene_[ppbV],styrene_Flags,o-xylene_[ppbV],o-xylene_Flags,n-nonane_[ppbV],n-nonane_Flags,isopropyl-benzene_[ppbV],isopropyl-benzene_Flags,a-pinene_[ppbV],a-pinene_Flags,n-propyl-benzene_[ppbV],n-propyl-benzene_Flags,m-ethyl-toluene_[ppbV],m-ethyl-toluene_Flags,p-ethyl-toluene_[ppbV],p-ethyl-toluene_Flags,"1,3,5-trimethyl-benzene_[ppbV]","1,3,5-trimethyl-benzene_Flags",o-ethyl-toluene_[ppbV],o-ethyl-toluene_Flags,"1,2,4-trimethyl-benzene_[ppbV]","1,2,4-trimethyl-benzene_Flags",n-decane_[ppbV],n-decane_Flags,"1,2,3-trimethyl-benzene_[ppbV]","1,2,3-trimethyl-benzene_Flags",m-diethyl-benzene_[ppbV],m-diethyl-benzene_Flags,p-diethyl-benzene_[ppbV],p-diethyl-benzene_Flags,n-undecane_[ppbV],n-undecane_Flags,n-dodecane_[ppbV],n-dodecane_Flags
05/14/2021 23:59:51,05/15/2021 0:44:19,3.40287,,0.160819,,1.51935,,0.00873055,,0.168562,,0.497986,,0.0138031,,0.00899606,4,0.0252775,,0.000909266,4,0.367197,,0.183791,,0.0191213,,0.00329052,4,-0.00780181,4,-0.0190371,4,-0.00300854,4,-0.0513956,4,0.00771753,,0.0703989,,,1,0.0756846,,0.0282703,,-0.0109173,4,0.0405142,,-0.0150384,4,0.0257703,,-0.00618093,4,0.0668155,,0.0126109,,0.0163936,,0.00349071,,-0.00353695,4,0.132136,,-0.00041181,4,0.0016459,,0.00487289,,0.0323444,,0.0658098,,0.0712235,,0.0340215,,-0.00179228,4,-0.0128573,4,,1,0.0108527,,0.0209554,,0.0129689,,0.00634381,,-0.0038787,4,0.0117955,,0.0103916,,0.00562517,,0.0361381,,0.00661055,,0.0552548,,0.152636,
05/15/2021 1:01:44,05/15/2021 1:45:47,4.2336,,0.104616,,1.88698,,0.017387,,0.273741,,0.750277,,0.0175378,,0.0121236,,0.0284998,,0.00329248,4,0.460124,,0.279399,,0.0175434,,0.00703095,,-0.00586906,4,-0.0148907,4,0.0341631,,-0.0775055,4,0.0536215,,0.288876,,,1,0.227144,,0.0779753,,,1,0.0514544,,0.011167,,0.0314979,,-0.00109841,4,0.0778301,,0.0183665,,0.0261822,,0.0115595,,-0.00120239,4,0.229973,,0.000295612,4,0.0051624,,0.00819975,,0.0302008,,0.0847044,,0.0699796,,0.0362426,,0.000282013,4,-0.0138219,4,,1,0.00219202,,0.0164471,,0.0100198,,0.00912876,,-0.00423379,4,0.0128658,,0.0111759,,0.00614732,,0.0314551,,0.00428551,,0.0541574,,0.148013,
05/15/2021 2:03:41,05/15/2021 2:48:09,7.0882,,0.206587,,3.7744,,0.0457639,,0.614332,,1.69695,,0.0159059,,0.0169875,,0.029266,,0.0228494,,0.751083,,0.550842,,0.0227468,,0.0105443,,-0.00541962,4,-0.0181943,4,0.03182,,-0.0836589,4,0.0685335,,0.268225,,-0.0432854,4,0.201608,,0.0915822,,-0.00102974,4,0.086648,,0.0381461,,0.0423171,,0.0054598,,0.0946805,,0.0377998,,0.0497973,,0.0368501,,-0.000443914,4,0.216959,,0.00424674,,0.00835722,,0.0156628,,0.0383242,,0.0802979,,0.0679323,,0.0397818,,0.00320127,,-0.013183,4,,1,0.00962032,,0.0194407,,0.0108811,,0.00942538,,-0.00427375,4,0.0287951,,0.011162,,0.00547288,,0.0332979,,0.00984331,,0.0534557,,0.147874,
05/15/2021 3:05:37,05/15/2021 3:50:06,13.5256,,0.289377,,6.78901,,0.0657235,,0.986809,,2.484,,0.0212451,,0.0196226,,0.0332038,,0.039041,,0.869015,,0.743552,,0.0219754,,0.014473,,-0.00113225,4,-0.0175298,4,0.0827407,,-0.0931959,4,0.167231,,0.488486,,-0.0498204,4,0.347997,,0.154219,,0.00356223,,0.0849502,,0.0652971,,0.0623064,,0.00805597,,0.111207,,0.0504479,,0.0696137,,0.0513306,,0.00327541,,0.317537,,0.0132822,,0.0153753,,0.0282879,,0.0463221,,0.118798,,0.0681838,,0.0473944,,0.00525383,,-0.0120595,4,0.000800867,,0.0145986,,0.0363308,,0.012103,,0.0104099,,-0.00211547,4,0.0185669,,0.0122685,,0.00926489,,0.029237,,0.0105365,,0.0535244,,0.146425,
05/15/2021 4:07:37,05/15/2021 4:52:04,12.9749,,0.360751,,6.18537,,0.080328,,0.924814,,2.25494,,0.0192207,,0.0207331,,0.0305534,,0.0477744,,0.893846,,0.765922,,0.0232816,,0.0117371,,-0.00432028,4,-0.00826017,4,0.076216,,-0.0965703,4,0.149717,,0.403387,,-0.0521435,4,0.302672,,0.144778,,0.00940678,,0.0986339,,0.0824868,,0.0685047,,0.0193299,,0.118444,,0.0578299,,0.0903067,,0.0703553,,0.00517769,,0.280526,,0.0175908,,0.0131902,,0.0279882,,0.0504584,,0.124988,,0.0671774,,0.0528511,,0.00728316,,-0.0122256,4,,1,0.0109023,,0.0391164,,0.00997923,,0.0136282,,-0.00478463,4,0.0237523,,0.0128345,,0.0087995,,0.0338928,,0.010333,,0.0545817,,0.146903,
05/15/2021 5:09:28,05/15/2021 5:53:56,13.8983,,0.815263,,6.79456,,0.176126,,1.0215,,2.55627,,0.0249395,,0.0383928,,0.0373869,,0.0592086,,1.01536,,1.23527,,0.0361311,,0.0154185,,0.000561905,4,-0.0145712,4,0.0826959,,-0.104203,4,0.166542,,0.40453,,-0.0219818,4,0.310439,,0.151602,,0.013096,,0.130322,,0.0850151,,0.0770214,,0.0296064,,0.126989,,0.0746974,,0.102267,,0.0933874,,0.00896149,,0.378741,,0.0252055,,0.0246739,,0.0465185,,0.0628507,,0.124477,,0.0661307,,0.0627394,,0.0145815,,-0.0106015,4,0.000576227,4,0.00527021,,0.0614608,,0.0154085,,0.0140055,,0.000989309,4,0.0340148,,0.0199995,,0.0128356,,0.0352084,,0.0106144,,0.0580009,,0.149083,
05/15/2021 6:11:17,05/15/2021 6:55:45,11.5661,,0.772989,,4.85553,,0.152093,,0.701608,,1.72765,,0.0178889,,0.0316857,,0.0316525,,0.0326556,,0.79295,,0.605909,,0.0317884,,0.00730967,,-0.00460467,4,-0.0213277,4,0.0371778,,-0.128199,4,0.0897114,,0.284894,,-0.0294274,4,0.22494,,0.0993615,,0.000547654,4,0.111776,,0.0539441,,0.0647034,,0.0160841,,0.107878,,0.0570149,,0.0701114,,0.0505097,,0.00371576,,0.297103,,0.0132081,,0.0121202,,0.0227856,,0.0540322,,0.146666,,0.0669563,,0.0557454,,0.00881425,,-0.0116041,4,0.00111133,,0.0101207,,0.0551626,,0.0143059,,0.0123508,,0.000601631,4,0.0296118,,0.0167438,,0.0108639,,0.0393986,,0.00628419,,0.0560665,,0.149069,
05/15/2021 7:13:15,05/15/2021 7:57:44,9.62143,,0.613054,,4.61477,,0.129568,,1.11266,,3.35104,,0.0808843,,0.0513497,,0.0944173,,0.113106,,2.48579,,1.714,,0.0292052,,0.111646,,0.0530038,,0.0365607,,0.153166,,-0.013934,4,0.338985,,0.535391,,-0.040634,4,0.423256,,0.198397,,0.0235007,,0.145519,,0.111549,,0.102563,,0.0293445,,0.152271,,0.0782387,,0.0941319,,0.0655431,,0.00702315,,0.339845,,0.0168221,,0.0157804,,0.0260695,,0.0533957,,0.110605,,0.0642284,,0.0584653,,0.0111297,,-0.0121916,4,0.00078378,,0.0197611,,0.0469686,,0.0120444,,0.0097472,,-0.000581993,4,0.0268987,,0.0204115,,0.0109761,,0.0396704,,0.0114807,,0.0579888,,0.148027,
05/15/2021 8:15:08,05/15/2021 8:59:36,9.77866,,0.666298,,4.74713,,0.135507,,0.806986,,1.74505,,0.0312393,,0.0393144,,0.0434699,,0.0534025,,1.36312,,0.867718,,0.0286377,,0.0236936,,0.011043,,-0.0115979,4,0.0784734,,-0.108297,4,0.167996,,0.398438,,-0.0648522,4,0.30667,,0.13003,,0.00734509,,0.121007,,0.0772346,,0.0838719,,0.0223446,,0.129229,,0.0603938,,0.075632,,0.052973,,0.00467511,,0.348047,,0.0100433,,0.0171867,,0.0273891,,0.0533772,,0.100183,,0.0556962,,0.0560176,,0.0114362,,-0.0106162,4,0.000652968,4,0.0110758,,0.0517718,,0.0133402,,0.0158062,,-0.00248537,4,0.0288389,,0.0209933,,0.0127223,,0.0410565,,0.0113126,,0.0588954,,0.146914,
05/15/2021 9:17:00,05/15/2021 10:01:29,8.33005,,0.493482,,4.59831,,0.0850279,,0.751421,,1.9906,,0.0177985,,0.0288097,,0.0329321,,0.0384349,,0.992394,,0.733132,,0.0238438,,0.00203845,4,-0.00312115,4,-0.0205516,4,0.0378825,,-0.13641,4,0.119682,,0.337934,,-0.0384671,4,0.257643,,0.102946,,0.000792025,4,0.0991409,,0.0496339,,0.0666294,,0.0107668,,0.114858,,0.0470015,,0.0729009,,0.0495051,,0.00365078,,0.284685,,0.0108959,,0.0119682,,0.021501,,0.0451709,,0.100117,,0.0521082,,0.0471424,,0.00743397,,-0.0115949,4,0.00107624,,0.00850283,,0.0562792,,0.0128668,,-0.00353856,4,-0.0022696,4,0.0241583,,0.0163064,,0.00824428,,0.0397211,,0.00970925,,0.0561189,,0.148247,
