StartTime_[LST],EndTime_[LST],ethylene_[ppbV],acetylene_[ppbV],ethane_[ppbV],propylene_[ppbV],propane_[ppbV],isobutane_[ppbV],cis-2-butene_[ppbV],n-butane_[ppbV],1-butene_[ppbV],trans-2-butene_[ppbV],isopentane_[ppbV],1-pentene_[ppbV],isoprene_[ppbV],n-pentane_[ppbV],cis-2-pentene_[ppbV],cyclopentane_[ppbV],"2,2-dimethyl-butane_[ppbV]","2,3-dimethyl-butane_[ppbV]",2-methyl-pentane_[ppbV],3-methyl-pentane_[ppbV],1-hexene_[ppbV],methyl-cyclopentane_[ppbV],n-hexane_[ppbV],benzene_[ppbV],cyclohexane_[ppbV],"2,4-dimethyl-pentane_[ppbV]","2,3-dimethyl-pentane_[ppbV]",2-methyl-hexane_[ppbV],3-methyl-hexane_[ppbV],n-heptane_[ppbV],methyl-cyclohexane_[ppbV],toluene_[ppbV],"2,2,4-trimethyl-pentane_[ppbV]","2,3,4-trimethyl-pentane_[ppbV]",2-methyl-heptane_[ppbV],3-methyl-heptane_[ppbV],n-octane_[ppbV],ethyl-benzene_[ppbV],"m,p-xylene_[ppbV]",styrene_[ppbV],o-xylene_[ppbV],n-nonane_[ppbV],isopropyl-benzene_[ppbV],"1,3,5-trimethyl-benzene_[ppbV]",n-propyl-benzene_[ppbV],"1,2,4-trimethyl-benzene_[ppbV]",m-ethyl-toluene_[ppbV],p-ethyl-toluene_[ppbV],o-ethyl-toluene_[ppbV],"1,2,3-trimethyl-benzene_[ppbV]",n-decane_[ppbV],m-diethyl-benzene_[ppbV]
07/27/2017 16:16:00,07/27/2017 16:46:00,0.1,0.082,1.909,,0.971,0.145,0.169,0.339,,0.115,0.181,,,0.123583073,0.112644656,,,,,,,,,,,,,,,,,,,,,,,,,0.099,,,,,,,,,,,,
07/27/2017 17:15:00,07/27/2017 17:45:00,0.119,0.085,2.023,,1.243,0.201,,0.519,,0.176,0.295,,,0.2154345,0.130065667,,,,,,0.088,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,
07/27/2017 19:15:00,07/27/2017 19:45:00,0.552,0.33,2.541,0.141,1.548,0.314,,0.942,,0.313,0.799,,,0.621499688,0.112765625,,0.124,,0.105,0.095,0.214,0.122,,,,0.086,0.054,,0.056,0.259,,,,,,,,,,,,,,,,,,,,,,
07/27/2017 21:14:00,07/27/2017 21:44:00,0.803,0.45,3.493,0.188,2.138,0.414,,0.934,,0.303,0.818,,,0.547314625,0.080132,,0.158,,0.132,0.125,0.252,0.166,,,,0.15,0.096,0.065,0.09,0.501,0.0698,,,,,0.083,0.166,,0.115,,,,,,,,,,,,,
07/27/2017 22:14:00,07/27/2017 22:44:00,0.637,0.372,4.535,0.138,2.656,0.417,,0.882,,0.299,0.78,,,0.566268938,0.103585781,,0.153,,0.134,0.123,0.272,0.16,0.067,,,0.149,0.092,0.061,0.091,0.471,0.0535,,,,,0.053,0.105,,0.11,,,,,,0.051,,,,,,,
07/28/2017 2:13:00,07/28/2017 2:43:00,0.599,0.372,38.803,0.244,27.429,7.921,,14.382,0.228,4.912,6.339,0.052684125,0.249799302,5.63934026,0.119552438,0.420572417,0.753,0.08,0.633,0.621,1.59,0.262,0.482,0.062,0.058,0.598,0.338,0.562,0.529,0.977,0.0794,,0.138,0.135,0.218,0.101,0.359,,0.174,0.103,,0.06,,,0.072,,,0.163,,,0.078,
07/28/2017 4:12:00,07/28/2017 4:42:00,0.609,0.266,93.902,0.216,97.151,24.512,,58.933,0.92,20.13,19.686,0.126825917,0.98541,23.2613786,0.141652688,1.197090667,3.76,0.583,2.804,2.986,7.24,0.967,2.369,0.331,0.236,2.165,0.913,2.729,2.408,1.673,0.0852,,0.453,0.443,0.714,0.076,0.687,,0.354,0.234,,0.066,,,0.102,,,0.098,,,,
07/28/2017 6:12:00,07/28/2017 6:42:00,0.58,0.306,13.747,0.14,11.008,2.212,,5.682,0.093,1.936,1.785,,0.101436438,2.126930313,,0.138290906,0.328,,0.247,0.307,0.668,0.145,0.184,,,0.173,0.088,0.227,0.217,0.255,,,,,,,0.071,,,,,,,,,,,,,,,
07/28/2017 7:11:00,07/28/2017 7:41:00,0.359,0.162,14.603,0.079,11.668,2.161,,6.225,0.094,2.111,1.78,,0.100109188,2.463895229,,0.173592354,0.349,,0.277,0.352,0.751,0.147,0.207,,,0.186,0.081,0.226,0.22,0.171,,,,,,,,,,,,,,,,,,,,,,
07/28/2017 9:11:00,07/28/2017 9:41:00,0.411,0.22,9.358,0.089,8.389,2.341,,4.408,0.066,1.469,1.737,,0.08442675,1.948527,0.0868995,0.41789475,0.276,,0.255,0.295,0.83,0.117,0.213,,,0.311,0.146,0.383,0.317,0.578,,,0.122,0.125,0.246,,0.22,,0.151,0.272,,0.064,,,0.124,,,0.41,,,0.29,0.052
07/28/2017 10:11:00,07/28/2017 10:41:00,0.32,0.166,7.287,0.051,5.282,1.096,,2.459,,0.82,0.855,,,0.965927083,0.075240885,0.109247396,0.127,,0.114,0.129,0.365,0.096,0.07,,,0.113,0.052,0.113,0.11,0.189,,,,,,,,,,0.09,,,,,,,,0.083,,,,
07/28/2017 13:51:00,07/28/2017 14:21:00,0.099,0.081,4.042,,2.179,0.367,0.133,0.905,,0.306,0.363,,,0.350174875,0.187097917,,,,,,0.106,0.062,,,,,,,,,,,,,,,,,0.098,,,,,,,,,,,,,
07/28/2017 14:51:00,07/28/2017 15:21:00,0.111,0.127,4.508,,2.49,0.401,,1.107,,0.371,0.42,,,0.447778469,0.144644469,,0.053,,,,0.143,0.077,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,
07/28/2017 15:50:00,07/28/2017 16:20:00,0.29,0.168,2.05,0.054,0.977,0.201,,0.45,,0.141,0.361,,,0.190368125,0.144425625,,,,,,0.113,0.066,,,,0.05,,,,0.186,,,,,,,,,,,,,,,,,,,,,,
07/28/2017 16:50:00,07/28/2017 17:20:00,0.225,0.177,2.023,,1.039,0.178,,0.38,,0.124,0.297,,,,0.081992365,,,,,,0.068,0.058,,,,,,,,0.109,,,,,,,,,,,,,,,,,,,,,,
07/28/2017 17:50:00,07/28/2017 18:20:00,0.267,0.204,1.947,,0.896,0.143,,0.365,,0.116,0.303,,,0.158540667,0.209986,,,,,,0.121,0.063,,,,,,,,0.175,,,,,,,,,0.077,,,,,,,,,,,,,
07/28/2017 18:50:00,07/28/2017 19:20:00,0.235,0.197,3.259,,1.682,0.252,,0.68,,0.224,0.402,,,0.290737406,0.207136406,,,,,,0.094,0.067,,,,,,,,0.128,,,,,,,,,0.059,,,,,,,,,,,,,
07/28/2017 19:49:00,07/28/2017 20:19:00,0.384,0.295,3.625,0.087,2.608,0.509,,1.123,,0.367,0.611,,,0.494826625,0.165693083,,0.087,,0.072,0.077,0.175,0.091,,,,0.072,,,,0.231,,,,,,,0.08,,,,,,,,,,,,,,,
