StartTime_[LST],EndTime_[LST],ethylene_[ppbV],acetylene_[ppbV],ethane_[ppbV],propylene_[ppbV],propane_[ppbV],isobutane_[ppbV],cis-2-butene_[ppbV],n-butane_[ppbV],1-butene_[ppbV],trans-2-butene_[ppbV],isopentane_[ppbV],1-pentene_[ppbV],isoprene_[ppbV],cis-2-pentene_[ppbV],trans-2-pentene_[ppbV],n-pentane_[ppbV],cyclopentane_[ppbV],"2,3-dimethyl-butane_[ppbV]",2-methyl-pentane_[ppbV],3-methyl-pentane_[ppbV],methyl-cyclopentane_[ppbV],n-hexane_[ppbV],benzene_[ppbV],cyclohexane_[ppbV],"2,4-dimethyl-pentane_[ppbV]","2,3-dimethyl-pentane_[ppbV]",2-methyl-hexane_[ppbV],3-methyl-hexane_[ppbV],n-heptane_[ppbV],methyl-cyclohexane_[ppbV],toluene_[ppbV],"2,2,4-trimethyl-pentane_[ppbV]","2,3,4-trimethyl-pentane_[ppbV]",2-methyl-heptane_[ppbV],3-methyl-heptane_[ppbV],n-octane_[ppbV],ethyl-benzene_[ppbV],"m,p-xylene_[ppbV]",styrene_[ppbV],o-xylene_[ppbV],n-nonane_[ppbV],isopropyl-benzene_[ppbV],"1,3,5-trimethyl-benzene_[ppbV]",n-propyl-benzene_[ppbV],"1,2,4-trimethyl-benzene_[ppbV]",m-ethyl-toluene_[ppbV],p-ethyl-toluene_[ppbV],o-ethyl-toluene_[ppbV],"1,2,3-trimethyl-benzene_[ppbV]",n-decane_[ppbV],m-diethyl-benzene_[ppbV],n-undecane_[ppbV]
10/26/2017 14:29,10/26/2017 14:59,0.378,0.456,5.339,0.149,3.577,0.584,,1.61,,,0.512,,,,,0.602,,,0.099,,0.087,0.215,0.08,0.177,,,0.054,,0.088,0.073,0.082,,,0.052,,0.072,,,,,,,,,,,,,,,,
10/26/2017 15:36,10/26/2017 16:06,0.364,0.33,7.755,0.116,5.845,1.239,,2.758,,,0.877,,,,,1.028,0.06,,0.148,0.115,0.142,0.353,0.079,0.239,,,,,0.132,0.127,0.072,,,,,0.084,,0.1,,,0.1,,,,,,,,,0.091,0.06,0.089
10/26/2017 16:43,10/26/2017 17:13,0.108,0.21,3.979,,2.475,0.492,,1.241,,,0.395,,,,,0.476,,,0.08,,0.067,0.172,,0.173,,,,,0.065,0.055,,,,,,,,,,,,,,,,,,,,,,
10/26/2017 17:50,10/26/2017 18:20,0.237,0.202,2.867,,1.91,0.301,,0.827,,,0.267,,,,,0.333,,,,,,0.098,,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/2017 18:56,10/26/2017 19:26,0.179,0.277,4.179,,2.646,0.532,,1.273,,,0.428,,,,,0.448,,,0.065,,0.063,0.154,,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/2017 20:03,10/26/2017 20:33,0.296,0.245,5.936,,2.645,0.484,,1.263,,,0.397,,,,,0.454,,,0.071,,0.059,0.146,,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/2017 21:11,10/26/2017 21:41,0.105,0.196,4.999,,3.68,0.752,,1.657,,,0.574,,,,,0.649,,,0.083,0.05,0.065,0.193,,0.214,,,,,0.058,0.051,,,,,,,,,,,,,,,,,,,,,,
10/26/2017 22:19,10/26/2017 22:49,0.26,0.178,6.656,,3.521,0.579,,1.402,,,0.411,,,,,0.484,,,0.078,,0.06,0.157,,0.201,,,,,0.056,,,,,,,,,,,,,,,,,,,,,,,
10/26/2017 23:27,10/26/2017 23:57,0.447,0.39,7.935,,5.171,1.025,,2.491,,,0.753,,,,,0.961,0.058,,0.146,0.097,0.121,0.306,0.078,0.236,,,,,0.092,0.095,,,,,,,,,,,,,,,,,,,,,,
10/27/2017 0:34,10/27/2017 1:04,0.264,0.404,10.278,,6.835,1.207,,2.876,,,0.821,,,,,0.922,0.052,,0.127,0.116,0.095,0.263,0.063,0.203,,,,,0.069,0.067,,,,,,,,,,,,,,,,,,,,,,
