StartTime_[LST],EndTime_[LST],WindSpeed_[m/s],RH_[percent],T(ambient)_[C],P(barometric)_[mmHG],T(shelter)_[C],SolarRadiation_[W/m2],PM2.5(LTP)_[ug/m3],PM10(LTP)_[ug/m3],CH4_[ppmV],NO_[ppbV],NO2_[ppbV],NOx_[ppbV],O3_[ppbV]
10/13/2017 12:10:00,10/13/2017 12:10:59,0.9,49.3,14.9,631.9,21.4,693.5,17.5,35.2,2.1,5.62,11.81,17.43,32.82
10/13/2017 12:11:00,10/13/2017 12:11:59,0.9,48.5,15,631.9,21.3,694,16.4,28.9,2.1,5.55,11.79,17.34,33.4
10/13/2017 12:12:00,10/13/2017 12:12:59,2.4,49.9,15,631.9,21.2,692.3,17.2,27.2,2.09,5.5,11.75,17.25,34.28
10/13/2017 12:13:00,10/13/2017 12:13:59,1.1,49.8,14.7,631.9,21.2,676.7,18.9,37.6,2.09,5.5,11.8,17.31,34.32
10/13/2017 12:14:00,10/13/2017 12:14:59,1.8,49.5,14.9,631.9,21.1,680.4,17.6,29.6,2.1,5.56,11.92,17.48,34.23
10/13/2017 12:15:00,10/13/2017 12:15:59,1.6,50,14.6,631.9,21.1,691.2,18.7,36.9,2.09,5.61,11.98,17.59,33.87
10/13/2017 12:16:00,10/13/2017 12:16:59,1.8,50.1,14.6,631.9,21,694.1,17.4,34.7,2.09,5.65,12.08,17.74,33.72
10/13/2017 12:17:00,10/13/2017 12:17:59,1.3,50.2,14.6,631.9,21,692.5,18.3,27.6,2.09,5.75,12.21,17.95,33.48
10/13/2017 12:18:00,10/13/2017 12:18:59,2.5,52,14.9,631.9,21.1,683.6,19.2,28.2,2.1,5.92,12.42,18.35,33.17
10/13/2017 12:19:00,10/13/2017 12:19:59,3.1,50.9,14.6,631.9,21.1,681.2,19.3,35.7,2.11,6.14,12.76,18.93,32.85
10/13/2017 12:20:00,10/13/2017 12:20:59,1.8,51.4,14.3,631.8,21.2,688.1,19.4,35.6,2.1,6.4,13.04,19.43,32.97
10/13/2017 12:21:00,10/13/2017 12:21:59,3.4,51.8,14.6,631.8,21.3,690,18.8,29.5,2.1,6.56,13.28,19.84,32.83
10/13/2017 12:22:00,10/13/2017 12:22:59,3.9,52.3,14.6,631.8,21.4,678.8,19.1,35.9,2.09,6.67,13.42,20.09,33.08
10/13/2017 12:23:00,10/13/2017 12:23:59,4,50.9,14.3,631.8,21.6,668.3,19.2,32.5,2.09,6.8,13.6,20.4,32.78
10/13/2017 12:24:00,10/13/2017 12:24:59,3.7,51.1,14.2,631.8,21.8,681.8,18.8,30.8,2.09,6.93,13.8,20.77,32.9
10/13/2017 12:25:00,10/13/2017 12:25:59,2.6,52,14.1,631.8,22,682.2,22.2,37.9,2.09,7.01,13.97,21,32.88
10/13/2017 12:26:00,10/13/2017 12:26:59,2.1,51.3,14.2,631.8,22.3,673.3,19.4,36.3,2.09,7.04,14.06,21.1,33.13
10/13/2017 12:27:00,10/13/2017 12:27:59,2.9,51.6,14.1,631.7,22.4,671,20.2,38.3,2.09,7.06,14.09,21.15,33.45
10/13/2017 12:28:00,10/13/2017 12:28:59,2.4,52,13.8,631.7,22.4,675.4,20,35.9,2.09,7.07,14.17,21.24,33.47
10/13/2017 12:29:00,10/13/2017 12:29:59,3.1,52.6,13.9,631.7,22.3,669.7,22.6,67.3,2.09,7.47,14.39,21.87,32.43
10/13/2017 12:30:00,10/13/2017 12:30:59,3.6,52.8,14.3,631.7,22.2,671.3,19.4,36.4,2.09,7.51,14.54,22.05,32.2
10/13/2017 12:31:00,10/13/2017 12:31:59,2.5,52.1,14.3,631.7,22.1,683.4,19.7,32.2,2.09,7.54,14.52,22.05,33.15
10/13/2017 12:32:00,10/13/2017 12:32:59,2.6,52.3,14.6,631.7,22.1,685.6,19.3,53.2,2.09,7.61,14.56,22.17,32.78
10/13/2017 12:33:00,10/13/2017 12:33:59,3.8,50.8,14.8,631.7,22,679.8,18.4,35.6,2.08,7.62,14.57,22.19,32.73
10/13/2017 12:34:00,10/13/2017 12:34:59,2.2,50.8,14.4,631.7,21.9,680,18.5,32.3,2.07,7.49,14.35,21.84,34.13
10/13/2017 12:35:00,10/13/2017 12:35:59,2.6,51.4,14.9,631.6,21.9,671.6,17.2,29.8,2.07,7.35,14.14,21.47,35.28
10/13/2017 12:36:00,10/13/2017 12:36:59,2,50.1,14.9,631.6,21.8,668.5,19.1,36.4,2.07,7.16,13.93,21.01,34.27
10/13/2017 12:37:00,10/13/2017 12:37:59,1.8,49.4,15,631.6,21.7,662.9,18.8,38.2,2.07,6.63,13.53,20.14,33.92
10/13/2017 12:38:00,10/13/2017 12:38:59,1.5,50,15.1,631.5,21.7,667.7,18.3,36.2,2.07,6.53,13.38,19.91,34.23
10/13/2017 12:39:00,10/13/2017 12:39:59,2.5,49.8,14.9,631.5,21.5,659,18.8,34,2.07,6.38,13.25,19.63,33.82
10/13/2017 12:40:00,10/13/2017 12:40:59,2.1,50.4,14.6,631.5,21.4,668.6,18.3,37.6,2.09,6.11,12.95,19.06,33.75
10/13/2017 12:41:00,10/13/2017 12:41:59,1.2,50.7,14.7,631.5,21.2,675.2,18.6,42.9,2.09,5.95,12.72,18.67,34.75
10/13/2017 12:42:00,10/13/2017 12:42:59,1.2,50.7,15,631.5,21.1,682.1,17.8,39.1,2.09,5.89,12.68,18.57,34.98
10/13/2017 12:43:00,10/13/2017 12:43:59,2,50.8,15,631.5,21,686.4,17.3,34.7,2.09,5.82,12.59,18.41,34.82
10/13/2017 12:44:00,10/13/2017 12:44:59,1.8,51.6,14.8,631.4,20.8,671.6,17,31.6,2.1,5.73,12.36,18.1,35.05
10/13/2017 12:45:00,10/13/2017 12:45:59,2.7,51.2,14.9,631.4,20.8,683.6,17.2,33.5,2.09,5.63,12.15,17.77,35.05
10/13/2017 12:46:00,10/13/2017 12:46:59,3.9,50.3,15.1,631.4,20.7,680.7,16.1,27,2.09,5.46,11.89,17.34,35.57
10/13/2017 12:47:00,10/13/2017 12:47:59,3.6,49.2,15.1,631.4,20.7,677,15.6,27,2.07,5.24,11.51,16.73,36.8
10/13/2017 12:48:00,10/13/2017 12:48:59,4,48.7,14.8,631.4,20.7,673,15.3,24,2.06,5.03,11.15,16.18,38.07
10/13/2017 12:49:00,10/13/2017 12:49:59,3.1,48,14.9,631.4,20.7,666.3,15.5,30.9,2.06,4.8,10.86,15.66,39.07
10/13/2017 12:50:00,10/13/2017 12:50:59,2,48.9,15.2,631.4,20.7,641.9,15.4,34.7,2.05,4.52,10.49,15.01,39.77
10/13/2017 12:51:00,10/13/2017 12:51:59,1.8,49.7,15.3,631.4,20.9,633.5,15.5,27.2,2.07,4.29,10.2,14.49,39.67
10/13/2017 12:52:00,10/13/2017 12:52:59,1.8,49.5,15.4,631.4,21.1,668.8,16.1,31.6,2.08,4.11,10.03,14.11,38.6
10/13/2017 12:53:00,10/13/2017 12:53:59,2.3,48.6,15.2,631.4,21.3,665.5,16.8,29.6,2.08,3.96,9.86,13.8,38.07
10/13/2017 12:54:00,10/13/2017 12:54:59,1.8,49,15.1,631.4,21.5,675.4,15.6,25.1,2.08,3.85,9.8,13.64,38.1
10/13/2017 12:55:00,10/13/2017 12:55:59,0.9,49,15.3,631.3,21.6,671.3,15.9,29.4,2.08,3.81,9.79,13.6,38.47
10/13/2017 12:56:00,10/13/2017 12:56:59,1.9,49.5,15.5,631.3,21.5,638.7,16.2,29.5,2.08,3.82,9.87,13.68,38.5
10/13/2017 12:57:00,10/13/2017 12:57:59,1.2,49.6,15.4,631.2,21.5,605.7,16.9,28.4,2.08,3.88,9.97,13.85,37.5
10/13/2017 12:58:00,10/13/2017 12:58:59,1.1,48.8,15.6,631.2,21.5,586.4,16.5,28.5,2.08,3.96,10.13,14.11,36.72
10/13/2017 12:59:00,10/13/2017 12:59:59,1.5,49.8,15.5,631.2,21.4,577.6,16.6,35.3,2.08,4.01,10.25,14.26,36.93
10/13/2017 13:00:00,10/13/2017 13:00:59,3.4,51.3,15.5,631.2,21.4,563.3,14.9,24.9,2.09,4.01,10.27,14.28,37.27
10/13/2017 13:01:00,10/13/2017 13:01:59,4.1,51.5,15.2,631.2,21.3,566.7,15.5,27.4,2.09,3.84,10.03,13.88,38.03
10/13/2017 13:02:00,10/13/2017 13:02:59,8.3,53.7,14.7,617.2,21.3,548.5,16.6,33.9,2.09,3.68,9.78,13.46,39.6
