StartTime_[LST],EndTime_[LST],ethylene_[ppbV],acetylene_[ppbV],ethane_[ppbV],propylene_[ppbV],propane_[ppbV],isobutane_[ppbV],cis-2-butene_[ppbV],n-butane_[ppbV],1-butene_[ppbV],isopentane_[ppbV],1-pentene_[ppbV],isoprene_[ppbV],n-pentane_[ppbV],trans-2-pentene_[ppbV],cyclopentane_[ppbV],"2,2-dimethyl-butane_[ppbV]",2-methyl-pentane_[ppbV],"2,3-dimethyl-butane_[ppbV]",3-methyl-pentane_[ppbV],n-hexane_[ppbV],benzene_[ppbV],cyclohexane_[ppbV],"2,4-dimethyl-pentane_[ppbV]","2,3-dimethyl-pentane_[ppbV]",2-methyl-hexane_[ppbV],3-methyl-hexane_[ppbV],n-heptane_[ppbV],methyl-cyclohexane_[ppbV],toluene_[ppbV],"2,2,4-trimethyl-pentane_[ppbV]",2-methyl-heptane_[ppbV],3-methyl-heptane_[ppbV],n-octane_[ppbV],ethyl-benzene_[ppbV],"m,p-xylene_[ppbV]",o-xylene_[ppbV],n-nonane_[ppbV],isopropyl-benzene_[ppbV],"1,3,5-trimethyl-benzene_[ppbV]","1,2,4-trimethyl-benzene_[ppbV]",p-ethyl-toluene_[ppbV],o-ethyl-toluene_[ppbV],n-decane_[ppbV]
06/08/2017 12:06,06/08/2017 12:36,0.376,0.399,13.156,,7.966,1.365,,3.394,0.054,1.027,,,0.968,,0.057,,,0.408,0.096,0.314,0.124,0.117,,,,,0.079,0.054,0.098,,,,,,,,,0.083,,,,,
06/08/2017 13:11,06/08/2017 13:41,0.108,0.207,6.749,,3.372,0.495,,1.264,,0.434,,,0.343,,,,,0.175,,0.111,0.086,0.071,,,,,,,0.108,,,,,,,,,0.118,,,,,
06/08/2017 14:16,06/08/2017 14:46,0.098,0.37,5.029,,2.465,0.362,,0.922,,0.361,,,0.261,,,,,0.148,,0.092,0.087,,,,,,,,,,,,,,,,,0.134,,,,,
06/08/2017 15:21,06/08/2017 15:51,,0.255,4.299,,2.71,0.425,,1.25,,0.382,,,0.318,,,,,0.152,,0.111,0.066,0.073,,,,,,,,,,,,,,,,0.126,,,,,
06/08/2017 16:26,06/08/2017 16:56,,0.252,3.176,,1.621,0.223,,0.615,,0.303,,,0.192,,,,,0.138,,0.064,0.065,,,,,,,,0.095,,,,,,,,,0.135,,,,,
06/08/2017 17:30,06/08/2017 18:00,0.7,0.899,11.588,0.107,6.289,1.072,,2.778,,1.347,,0.284,0.993,,0.062,,,0.651,0.18,0.502,0.254,0.157,,,0.088,0.107,0.148,0.093,0.482,0.087,,,,,,,,0.151,0.059,,,,
06/08/2017 18:33,06/08/2017 19:03,0.963,0.767,8.243,0.163,4.575,0.916,,2.234,,1.133,,0.138,0.733,,,,,0.484,0.148,0.4,0.218,0.116,,,0.061,0.07,0.093,,0.508,0.082,,,,,,,,0.122,,,,,
06/08/2017 19:35,06/08/2017 20:05,0.682,0.439,48.959,0.114,29.372,6.645,,16.72,0.354,6.794,0.065,0.308,6.833,0.219,0.432,0.085,,3.213,1.044,2.794,0.504,0.835,0.123,0.14,0.386,0.391,0.816,0.881,0.815,0.11,0.127,0.114,0.216,,0.191,0.052,0.063,0.109,,,,,
06/08/2017 20:39,06/08/2017 21:09,0.598,0.527,13.996,0.124,6.912,1.207,,2.897,,1.314,,0.334,1.036,,0.066,,,0.611,0.165,0.452,0.168,0.212,,,0.082,0.081,0.18,0.209,0.367,,,,0.094,,0.123,0.077,0.062,0.079,,,0.051,0.055,
06/08/2017 21:44,06/08/2017 22:14,1.002,0.679,11.091,0.235,5.432,1.024,,2.234,,1.304,,0.286,0.78,,,,0.056,0.519,0.16,0.375,0.199,0.23,,0.057,0.106,0.086,0.113,0.102,0.534,0.25,,,,,0.117,0.064,,0.081,,,0.06,0.054,
