StartTime_[LST],EndTime_[LST],ethylene_[ppbV],ethane_[ppbV],propylene_[ppbV],propane_[ppbV],isobutane_[ppbV],cis-2-butene_[ppbV],n-butane_[ppbV],1-butene_[ppbV],trans-2-butene_[ppbV],isopentane_[ppbV],1-pentene_[ppbV],trans-2-pentene_[ppbV],isoprene_[ppbV],cis-2-pentene_[ppbV],n-pentane_[ppbV],cyclopentane_[ppbV],2-methyl-pentane_[ppbV],"2,3-dimethyl-butane_[ppbV]",3-methyl-pentane_[ppbV],n-hexane_[ppbV],benzene_[ppbV],cyclohexane_[ppbV],"2,4-dimethyl-pentane_[ppbV]","2,3-dimethyl-pentane_[ppbV]",2-methyl-hexane_[ppbV],3-methyl-hexane_[ppbV],methyl-cyclohexane_[ppbV],n-heptane_[ppbV],toluene_[ppbV],"2,2,4-trimethyl-pentane_[ppbV]","2,3,4-trimethyl-pentane_[ppbV]",2-methyl-heptane_[ppbV],3-methyl-heptane_[ppbV],n-octane_[ppbV],ethyl-benzene_[ppbV],"m,p-xylene_[ppbV]",styrene_[ppbV],o-xylene_[ppbV],n-nonane_[ppbV],n-propyl-benzene_[ppbV],"1,3,5-trimethyl-benzene_[ppbV]",m-ethyl-toluene_[ppbV],"1,2,4-trimethyl-benzene_[ppbV]",p-ethyl-toluene_[ppbV],o-ethyl-toluene_[ppbV],"1,2,3-trimethyl-benzene_[ppbV]",n-decane_[ppbV],p-diethyl-benzene_[ppbV],m-diethyl-benzene_[ppbV],n-undecane_[ppbV],n-dodecane_[ppbV]
3/7/2017 13:05,3/7/2017 13:35,0.075,2.106,0.173,0.836,0.377,,0.306,0.162,0.35,0.072,0.034,0.026,0.051,0.018,0.041,0.016,0.086,0.041,0.024,0.024,0.16,0.028,,0.02,0.021,0.025,0.011,0.034,0.014,0.014,0.047,0.01,0.018,0.015,0.016,0.084,0.046,0.074,0.035,0.063,0.022,0.023,0.016,0.043,0.023,0.019,0.028,0.034,0.051,0.014,0.057
3/7/2017 17:19,3/7/2017 17:49,0.126,2.024,0.124,0.679,0.27,,0.243,0.141,0.163,0.065,0.036,0.028,0.054,0.019,0.039,0.013,0.062,0.037,0.024,0.028,0.2,0.03,0.002,0.018,0.019,0.021,0.01,0.029,0.055,0.013,0.049,0.013,0.016,0.014,0.012,0.09,0.042,0.022,0.022,0.044,0.02,0.02,0.016,0.045,0.029,0.027,0.017,0.021,0.042,0.04,0.064
3/7/2017 18:19,3/7/2017 18:49,0.115,2.131,0.119,0.732,0.296,0.113,0.255,0.148,0.291,0.082,0.031,0.027,0.051,0.018,0.036,0.015,0.072,0.041,0.029,0.033,0.168,0.024,,0.023,0.015,0.016,0.007,0.031,0.03,0.011,0.048,0.015,0.017,0.013,0.012,0.067,0.038,0.04,0.023,0.035,0.024,0.021,0.014,0.042,0.022,0.025,0.062,0.013,,0.037,0.037
3/7/2017 19:19,3/7/2017 19:49,0.176,2.363,0.165,0.916,0.337,0.114,0.327,0.149,0.328,0.114,0.033,0.025,0.052,0.017,0.028,0.013,0.069,0.042,0.025,0.047,0.176,0.048,,0.015,0.015,0.035,0.044,0.056,0.073,0.012,0.048,0.014,0.017,0.024,0.025,0.098,0.031,0.041,0.033,0.044,0.021,0.022,0.017,0.039,0.022,0.026,0.083,0.018,0.039,0.04,0.026
3/7/2017 23:00,3/7/2017 23:30,0.072,1.957,0.119,0.667,0.322,0.119,0.225,0.146,0.228,0.07,0.032,0.025,0.051,0.017,0.015,0.012,0.074,0.045,0.022,0.034,0.151,0.028,,0.019,0.007,0.015,0.009,0.02,0.036,0.015,0.048,0.011,0.015,0.019,0.016,0.089,0.039,0.041,0.057,0.053,0.024,0.02,0.022,0.04,0.024,0.046,0.072,0.019,0.052,0.044,0.091
3/7/2017 23:59,3/8/2017 0:29,0.124,2.719,0.144,1.135,0.344,0.109,0.343,0.153,0.364,0.099,0.032,0.025,0.051,0.017,0.093,0.015,0.078,0.058,0.022,0.034,0.165,0.032,,0.016,0.013,0.023,0.012,0.028,0.034,0.017,0.047,0.011,0.015,0.012,0.018,0.09,0.037,0.063,0.025,0.053,0.02,0.021,0.016,0.042,0.023,0.03,0.035,0.021,0.061,0.01,0.036
3/8/2017 1:00,3/8/2017 1:30,0.091,2.315,0.13,0.864,0.37,0.099,0.278,0.149,0.291,0.059,0.033,0.025,0.051,0.017,0.041,0.012,0.077,0.054,0.022,0.036,0.146,0.029,0.001,0.018,0.015,0.013,0.005,0.022,0.024,0.009,0.05,0.013,0.018,0.022,0.019,0.089,0.037,0.031,0.028,0.037,0.022,0.028,0.015,0.038,0.023,0.027,0.025,0.018,0.041,,0.024
3/8/2017 2:00,3/8/2017 2:30,0.065,2.686,0.109,1.207,0.47,0.022,0.397,0.158,0.452,0.115,0.033,0.023,0.051,0.016,0.152,0.018,0.08,0.081,0.035,0.078,0.171,0.047,0,0.023,0.022,0.033,0.083,0.088,0.022,0.014,0.049,0.043,0.027,0.066,0.026,0.11,0.041,0.029,0.044,0.038,0.033,0.028,0.012,0.038,0.051,0.024,0.155,0.031,,0.063,0.043
3/8/2017 3:00,3/8/2017 3:30,0.059,1.902,0.094,0.652,0.277,0.094,0.268,0.142,0.267,0.077,0.032,0.023,0.053,0.016,0.048,0.014,0.079,0.03,0.023,0.012,0.163,0.028,0.004,0.015,0.008,0.008,0.005,0.019,0.023,0.013,0.048,0.016,0.018,0.012,0.014,0.033,0.034,0.027,0.025,0.037,0.024,0.025,0.013,0.046,0.025,0.022,0.033,0.015,0.041,,
3/8/2017 4:00,3/8/2017 4:30,0.161,4.35,0.146,2.073,0.486,0.096,0.528,0.156,0.541,0.248,0.037,0.025,0.051,0.018,0.152,0.021,0.068,0.07,0.033,0.079,0.181,0.026,0.001,0.022,0.007,0.028,0.015,0.052,0.046,0.018,0.051,0.012,0.016,0.018,0.017,0.099,0.037,0.019,0.032,0.041,0.025,0.026,0.015,0.039,0.023,0.017,0.023,0.024,0.037,,0.007
3/8/2017 5:00,3/8/2017 5:30,0.341,5.138,0.172,2.068,0.511,,0.642,0.168,0.746,0.355,0.037,0.025,0.052,0.017,0.206,0.017,0.069,0.156,0.033,0.11,0.195,0.048,,0.03,0.026,0.019,0.016,0.051,0.055,0.02,0.048,0.011,0.02,0.024,0.014,0.107,0.038,0.047,0.024,0.051,0.039,0.021,0.016,0.038,0.026,0.034,0.048,0.013,0.04,0.003,0.027
3/8/2017 6:00,3/8/2017 6:29,0.425,7.978,0.203,4.077,0.883,,1.406,0.161,1.555,0.708,0.041,0.028,0.051,0.02,0.65,0.034,0.069,0.374,0.067,0.252,0.248,0.111,,0.02,0.037,0.066,0.147,0.17,0.207,0.013,0.05,0.029,0.037,0.098,0.03,0.207,0.038,0.078,0.1,0.052,0.026,0.061,0.019,0.047,0.063,0.017,0.06,0.022,0.06,0.06,0.044
3/8/2017 6:59,3/8/2017 7:30,0.294,3.942,0.182,1.592,0.504,0.017,0.628,0.157,0.69,0.337,0.039,0.032,0.054,0.023,0.241,0.02,0.072,0.206,0.052,0.141,0.21,0.05,,0.021,0.018,0.045,0.021,0.064,0.047,0.016,0.047,0.022,0.024,0.033,0.019,0.13,0.042,0.051,0.031,0.037,0.033,0.044,0.015,0.042,0.03,0.015,,0.019,0.047,0.02,0.009
3/8/2017 8:00,3/8/2017 8:30,0.321,6.4,0.178,3.844,0.848,,1.37,0.157,1.504,0.605,0.038,0.027,0.052,0.018,0.606,0.025,0.064,0.196,0.076,0.28,0.228,0.089,0.017,0.022,0.05,0.072,0.209,0.224,0.188,0.012,0.052,0.076,0.065,0.158,0.059,0.251,0.049,0.144,0.174,0.057,0.09,0.095,0.024,0.05,0.099,0.057,0.159,0.041,0.053,0.11,0.105
3/8/2017 9:00,3/8/2017 9:29,0.076,1.59,0.105,0.483,0.218,0.068,0.198,0.141,0.245,0.043,0.032,0.024,0.052,0.016,0.012,0.015,0.063,0.028,0.025,0.023,0.158,0.026,0.003,0.015,0.007,0.018,0.004,0.026,0.018,0.014,0.049,0.011,0.016,0.014,0.015,0.067,0.043,0.018,0.022,0.036,0.02,0.022,0.014,0.04,0.022,0.021,,0.014,0.036,,0.012
