StartTime_[LST],EndTime_[LST],ethane_[ppbV],ethane_Flags,propane_[ppbV],propane_Flags,isobutane_[ppbV],isobutane_Flags,n-butane_[ppbV],n-butane_Flags,cyclopentane_[ppbV],cyclopentane_Flags,isopentane_[ppbV],isopentane_Flags,n-pentane_[ppbV],n-pentane_Flags,2-methyl-pentane_[ppbV],2-methyl-pentane_Flags,3-methyl-pentane_[ppbV],3-methyl-pentane_Flags,isoprene_[ppbV],isoprene_Flags,n-hexane_[ppbV],n-hexane_Flags,methyl-cyclopentane_[ppbV],methyl-cyclopentane_Flags,benzene_[ppbV],benzene_Flags,toluene_[ppbV],toluene_Flags,n-octane_[ppbV],n-octane_Flags,ethyl-benzene_[ppbV],ethyl-benzene_Flags,"m,p-xylene_[ppbV]","m,p-xylene_Flags",o-xylene_[ppbV],o-xylene_Flags,n-nonane_[ppbV],n-nonane_Flags,p-ethyl-toluene_[ppbV],p-ethyl-toluene_Flags,"1,2,4-trimethyl-benzene_[ppbV]","1,2,4-trimethyl-benzene_Flags",n-decane_[ppbV],n-decane_Flags,p-diethyl-benzene_[ppbV],p-diethyl-benzene_Flags,n-undecane_[ppbV],n-undecane_Flags,n-dodecane_[ppbV],n-dodecane_Flags
02/26/2021 23:34,02/27/2021 0:19,14.4559,,8.8718,,1.33332,,3.63188,,0.0783803,,1.1026,,1.27233,,0.192259,,0.712131,,,1,0.492308,,0.210134,,0.14509,,0.125575,,0.0381776,,-0.0162187,4,-0.00295971,4,-0.0160547,4,-0.012844,4,-0.0581027,4,-0.0511332,4,-0.0547141,4,,1,-0.117222,4,-0.214082,4
02/27/2021 0:33,02/27/2021 1:18,8.98972,,4.92758,,0.666545,,1.84541,,0.0245393,4,0.559076,,0.550222,,0.0713278,,0.213927,,,1,0.169568,,0.0578605,,0.0819942,,0.0194986,4,-0.00558078,4,-0.0262773,4,-0.0324957,4,-0.0292892,4,-0.0287648,4,-0.0570624,4,-0.0646525,4,-0.0701747,4,,1,-0.129302,4,-0.232286,4
02/27/2021 1:32,02/27/2021 2:17,4.29806,,2.51343,,0.323847,,0.56554,,-0.00020907,4,0.237827,,0.217376,,0.0296514,,0.0643826,,,1,0.0714558,,0.0247905,4,0.0601578,,0.00426694,4,-0.0153747,4,-0.0277499,4,-0.0403909,4,-0.0306206,4,-0.0303678,4,-0.0590841,4,-0.0658337,4,-0.0683345,4,,1,-0.123162,4,-0.234709,4
02/27/2021 2:31,02/27/2021 3:16,5.2594,,2.06204,,0.252662,,0.441478,,-0.00424915,4,0.218255,,0.189094,,0.0260071,,0.0615291,,,1,0.0685539,,0.0114474,4,0.0592113,,0.0266276,4,-0.0186363,4,-0.0247242,4,-0.0295685,4,-0.0266191,4,-0.0313157,4,-0.0590805,4,-0.0625561,4,-0.071725,4,,1,-0.12979,4,-0.239018,4
02/27/2021 3:30,02/27/2021 4:15,6.47982,,2.28497,,0.286245,,0.502943,,-0.00318558,4,0.235688,,0.23003,,0.0254919,,0.102185,,,1,0.0712285,,0.023663,4,0.065677,,0.0341164,,-0.0134688,4,-0.0230243,4,-0.019887,4,-0.0249867,4,-0.0297346,4,-0.05881,4,-0.0621599,4,-0.0703741,4,,1,-0.131361,4,-0.240528,4
02/27/2021 4:28,02/27/2021 5:13,5.92566,,1.99231,,0.254613,,0.754342,,-0.00536548,4,0.198387,,0.226843,,0.018546,,0.0586571,,,1,0.0619523,,0.0202821,4,0.063591,,0.030119,,-0.0186042,4,-0.0244624,4,-0.0279061,4,-0.0269975,4,-0.0303667,4,-0.0591972,4,-0.0628951,4,-0.0704555,4,,1,-0.132155,4,-0.241955,4
02/27/2021 5:27,02/27/2021 6:12,5.07049,,2.20199,,0.250074,,0.342218,,-0.00557335,4,0.188184,,0.204917,,0.0271713,,0.0433038,,,1,0.0679612,,0.0195886,4,0.0628379,,0.0353002,,-0.0209251,4,-0.025229,4,-0.0303191,4,-0.0272648,4,-0.0315453,4,-0.0593895,4,-0.0626283,4,-0.0732687,4,,1,-0.136078,4,-0.242915,4
02/27/2021 6:26,02/27/2021 7:11,4.85839,,2.16612,,0.2768,,0.405248,,-0.00746053,4,0.186116,,0.254693,,0.0271269,,0.0859304,,,1,0.0615498,,0.0199506,4,0.0604511,,0.00396547,4,-0.0193224,4,-0.027309,4,-0.0409196,4,-0.0318454,4,-0.032485,4,-0.0594925,4,-0.06572,4,-0.0733225,4,,1,-0.134904,4,-0.246538,4
02/27/2021 7:25,02/27/2021 8:10,4.05177,,1.51714,,0.179545,,0.238148,,-0.00861085,4,0.144819,,0.140302,,0.0161214,,0.0708126,,,1,0.0435975,,0.0129478,4,0.0600799,,0.00633241,4,-0.0208595,4,-0.0258183,4,-0.0389663,4,-0.0298545,4,-0.0325987,4,-0.0593493,4,-0.0678208,4,-0.0741733,4,,1,-0.134597,4,-0.244277,4
02/27/2021 8:24,02/27/2021 9:09,3.56857,,1.1838,,0.155015,,0.236549,,-0.00708143,4,0.121103,,0.110332,,0.0214885,,0.03157,,,1,0.0437547,,0.00714049,4,0.0682977,,0.0169391,4,-0.0190758,4,-0.0253892,4,-0.0347239,4,-0.0280307,4,-0.0327502,4,-0.0579526,4,-0.0664937,4,-0.073957,4,,1,-0.136046,4,-0.243074,4
