StartTime_[LST],EndTime_[LST],ethane_[ppbV],ethane_Flags,propane_[ppbV],propane_Flags,isobutane_[ppbV],isobutane_Flags,n-butane_[ppbV],n-butane_Flags,cyclopentane_[ppbV],cyclopentane_Flags,isopentane_[ppbV],isopentane_Flags,n-pentane_[ppbV],n-pentane_Flags,2-methyl-pentane_[ppbV],2-methyl-pentane_Flags,3-methyl-pentane_[ppbV],3-methyl-pentane_Flags,isoprene_[ppbV],isoprene_Flags,n-hexane_[ppbV],n-hexane_Flags,methyl-cyclopentane_[ppbV],methyl-cyclopentane_Flags,benzene_[ppbV],benzene_Flags,toluene_[ppbV],toluene_Flags,n-octane_[ppbV],n-octane_Flags,ethyl-benzene_[ppbV],ethyl-benzene_Flags,"m,p-xylene_[ppbV]","m,p-xylene_Flags",o-xylene_[ppbV],o-xylene_Flags,n-nonane_[ppbV],n-nonane_Flags,p-ethyl-toluene_[ppbV],p-ethyl-toluene_Flags,"1,2,4-trimethyl-benzene_[ppbV]","1,2,4-trimethyl-benzene_Flags",n-decane_[ppbV],n-decane_Flags,p-diethyl-benzene_[ppbV],p-diethyl-benzene_Flags,n-undecane_[ppbV],n-undecane_Flags,n-dodecane_[ppbV],n-dodecane_Flags
12/07/2021 13:30:00,12/07/2021 14:28:00,8.81649,,6.22075,,0.996996,,3.04022,,0.0364084,4,0.931772,,0.910633,,0.130122,,0.104362,,,1,0.320531,,0.186308,,0.158849,,0.246027,,0.0794194,4,0.0489617,4,0.141377,,0.0691035,4,0.0499487,4,,1,0.0846527,4,0.000706489,4,0.0575718,4,0.541103,,0.0980496,
12/07/2021 14:31:00,12/07/2021 15:29:00,33.2062,,46.1261,,7.45781,,21.2064,,0.244857,,4.6149,,4.58413,,0.571187,,0.670346,,,1,1.25417,,0.684726,2,0.282958,,0.287612,,0.111004,4,0.0317277,4,0.092705,4,0.0572282,4,0.0452539,4,,1,0.00811332,4,0.0140034,4,0.0902025,4,0.886754,,0.738032,
12/07/2021 15:32:00,12/07/2021 16:30:00,153.99,,248.694,,36.7085,,112.81,,1.31844,,19.7851,,19.4413,,0.943767,,1.82669,,,1,3.84856,,2.43984,,0.897132,,0.748385,,0.369805,,0.0911612,,0.316212,,0.109018,,0.168093,,,1,0.0531706,4,0.029399,4,0.0564581,4,0.359034,,0.0767715,
12/07/2021 16:32:00,12/07/2021 17:30:00,16.4498,,15.6963,,2.35228,,7.5256,,0.142472,4,2.26043,,1.65342,,0.18342,,0.380695,,,1,0.561036,,0.304266,2,0.244866,,0.434221,,0.0958694,4,0.0496681,4,0.188179,,0.0801717,4,0.0346209,4,,1,0.0435126,4,0.0109302,4,0.0721315,4,0.552107,,0.485555,
12/07/2021 17:34:00,12/07/2021 18:32:00,149.894,,232.909,,35.0737,,107.753,,1.38117,,20.0778,,19.5799,,0.28161,,2.16687,,,1,3.98375,,2.74527,,1.04998,,0.933001,,0.3135,,0.0877852,,0.269265,,0.13116,,0.122169,,,1,0.0804447,,0.0253535,4,0.03402,4,0.194306,,0.0421721,4
12/07/2021 18:35:00,12/07/2021 19:33:00,65.9479,,108.572,,19.1116,,57.5016,,0.805868,,11.6373,,11.7131,,0.621776,,1.42756,,,1,3.55968,,1.62297,2,0.718679,,1.00878,,0.267827,,0.101717,4,0.375879,,0.102857,4,0.103781,4,,1,0.0547212,4,0.0502228,4,0.046212,4,0.351857,,0.280506,
12/07/2021 19:36:00,12/07/2021 20:34:00,38.2805,,29.0547,,4.924,,14.7288,,0.335385,,4.71444,,4.47051,,,1,0.757466,,,1,1.22296,,0.731427,,0.407987,,0.888076,,0.168612,,0.104043,,0.347295,,0.13776,,0.0955358,4,,1,0.0970657,4,0.0469839,4,0.0377121,4,0.127074,,0.020805,4
12/08/2021 0:48:00,12/08/2021 1:46:00,172.514,,183.834,,94.1321,,,1,0.0283557,4,20.1201,,17.2226,,,1,,1,,1,3.86911,,1.49529,2,0.842667,,0.678012,,0.198316,,0.0717834,,0.269213,,0.0845148,,0.0693201,,,1,0.117021,,0.0423679,,0.0663243,,0.172652,,0.137261,
12/08/2021 1:49:00,12/08/2021 2:47:00,82.9984,,105.062,,17.3535,,50.5046,,0.508227,,9.18447,,6.8507,,0.943214,,0.625972,,,1,1.50745,,0.790017,,0.461495,,0.607587,,0.163715,,0.105159,,0.338317,,0.130638,,0.0997817,,,1,0.102833,,0.0735582,,0.0322836,4,0.0802676,,0.0336559,4
12/08/2021 2:49:00,12/08/2021 3:47:00,87.0805,,98.6028,,21.5616,,65.0777,,0.527751,,11.518,,7.87168,,1.06469,,0.992508,,,1,1.78134,,0.729282,2,0.594577,,0.796347,,0.170733,,0.0927541,,0.359139,,0.122325,,0.111023,,,1,0.0889471,,0.0551964,,0.028008,4,0.12686,,0.0427344,
