StartTime_[LST],EndTime_[LST],ethane_[ppbV],ethane_Flags,propane_[ppbV],propane_Flags,isobutane_[ppbV],isobutane_Flags,n-butane_[ppbV],n-butane_Flags,cyclopentane_[ppbV],cyclopentane_Flags,isopentane_[ppbV],isopentane_Flags,n-pentane_[ppbV],n-pentane_Flags,2-methyl-pentane_[ppbV],2-methyl-pentane_Flags,3-methyl-pentane_[ppbV],3-methyl-pentane_Flags,isoprene_[ppbV],isoprene_Flags,n-hexane_[ppbV],n-hexane_Flags,methyl-cyclopentane_[ppbV],methyl-cyclopentane_Flags,benzene_[ppbV],benzene_Flags,toluene_[ppbV],toluene_Flags,n-octane_[ppbV],n-octane_Flags,ethyl-benzene_[ppbV],ethyl-benzene_Flags,"m,p-xylene_[ppbV]","m,p-xylene_Flags",o-xylene_[ppbV],o-xylene_Flags,n-nonane_[ppbV],n-nonane_Flags,p-ethyl-toluene_[ppbV],p-ethyl-toluene_Flags,"1,2,4-trimethyl-benzene_[ppbV]","1,2,4-trimethyl-benzene_Flags",n-decane_[ppbV],n-decane_Flags,p-diethyl-benzene_[ppbV],p-diethyl-benzene_Flags,n-undecane_[ppbV],n-undecane_Flags,n-dodecane_[ppbV],n-dodecane_Flags
06/04/2019 13:59:00,06/04/2019 14:44:00,5.90838,,2.64626,,0.501721,,1.24124,,0.0463144,,0.43053,,0.432279,2,0.132015,,0.139993,,0.0997592,,0.225208,,0.123164,,0.111683,,0.689468,,0.048758,,0.043462,,0.0447322,,0.00994643,4,0.0135619,4,-0.00884094,4,,1,,1,,1,-0.0179237,2,-0.0524866,2
06/04/2019 15:01:00,06/04/2019 15:46:00,2.26383,,0.833317,,0.169315,,0.431305,,0.0306039,,0.236327,,0.190063,2,0.0888679,,0.103357,,0.0913672,,0.117044,,0.070879,,0.0726076,,0.284261,,0.023828,4,0.0100547,4,0.00537761,4,0.00515392,4,0.00465389,4,,1,-0.0165496,4,-0.00488253,4,-0.0194656,4,-0.0246556,2,-0.0630301,2
06/04/2019 16:03:00,06/04/2019 16:48:00,4.78262,,1.75311,,0.335168,,0.815708,,0.0358996,,0.314633,,0.277682,2,0.14213,,0.112718,,0.0895375,,0.156731,,0.0786484,,0.0845767,,0.123134,,0.0261841,4,0.00916239,4,-0.000811492,4,0.00262675,4,0.0103227,4,,1,-0.0183824,4,-0.00351204,4,,1,-0.0244906,2,-0.0621565,2
06/04/2019 17:05:00,06/04/2019 17:50:00,2.81914,,1.04575,,0.19528,,0.478551,,0.0302802,,0.244521,,0.19703,2,0.0887321,,0.103777,,0.100848,,0.101821,,0.0587652,,0.074771,,0.100848,,0.0213187,4,0.00748052,4,-0.000609142,4,0.00362,4,0.00391934,4,,1,-0.0202615,4,-0.00863304,4,,1,-0.0274731,2,-0.0659265,2
06/04/2019 18:07:00,06/04/2019 18:52:00,4.98905,,2.76792,,0.549349,,1.34922,,0.0511656,,0.456397,,0.493653,2,0.141828,,0.12979,,0.0925304,,0.261122,,0.129389,,0.0937779,,0.102204,,0.0473422,,0.00898573,4,0.0151225,4,0.00562221,4,0.015573,4,,1,-0.0156994,4,-0.00418169,4,,1,-0.0232683,2,-0.0799811,2
06/04/2019 19:09:00,06/04/2019 19:54:00,7.81174,,3.64733,,0.652043,,1.59207,,0.0512864,,0.53018,,0.520062,2,0.161823,,0.146218,,0.0972007,,0.288971,,0.140275,,0.111268,,0.142263,,0.0539445,,0.0141945,4,0.0279967,4,0.0122249,4,0.0190239,4,,1,-0.00601017,4,-0.00086063,4,,1,-0.019518,2,-0.0566463,2
06/04/2019 20:11:00,06/04/2019 20:56:00,6.269,,3.41657,,0.734663,,1.65307,,0.0579233,,0.547775,,0.548872,2,0.174792,,0.13481,,0.0937681,,0.348736,,0.158919,,0.116546,,0.2303,,0.102404,,0.0293725,4,0.0762791,,0.0314644,,0.0694613,,-0.00294489,4,0.0382543,,0.0626974,,-0.00563581,4,0.0339026,2,-0.031852,2
06/04/2019 21:12:00,06/04/2019 21:57:00,8.03087,,5.62453,,1.36073,,3.36976,,0.0939928,,1.02201,,1.00455,2,0.258295,,0.214986,,0.0908565,,0.575082,,0.28921,,0.188124,,0.355445,,0.163598,,0.0410324,,0.161845,,0.0462294,,0.120938,,,1,0.0649901,,0.130846,,0.00596631,4,0.078812,2,0.00790853,2
06/04/2019 22:15:00,06/04/2019 22:59:00,7.95669,,5.3461,,0.981721,,2.5296,,0.0758354,,0.7946,,0.720759,2,0.202668,,0.184267,,0.0849233,,0.407964,,0.198121,,0.132714,,0.331703,,0.109681,,0.0345013,,0.0894606,,0.0398699,,0.0607834,,0.0118587,4,0.040509,,0.0425121,,-0.00700492,4,0.015553,2,-0.0322542,2
06/04/2019 23:17:00,06/05/2019 0:02:00,7.24038,,3.94851,,0.818101,,1.92161,,0.0695415,,0.762734,,0.649826,2,0.191178,,0.178689,,0.0876345,,0.360188,,0.176349,,0.150318,,0.460394,,0.0704174,,0.0467928,,0.163899,,0.0617136,,0.03351,,0.0319453,,0.0403466,,0.0295725,4,-0.0194656,4,-0.00724875,2,-0.0450392,2
06/05/2019 0:19:00,06/05/2019 1:04:00,6.11455,,2.95246,,0.56673,,1.40732,,0.0545882,,0.625785,,0.298191,2,0.152546,,0.154808,,,1,0.277315,,0.134175,,0.106386,,0.435579,,0.0423748,,0.044419,,0.166097,,0.0510277,,0.0198062,4,0.059828,,0.0193678,4,0.0107162,4,-0.012041,4,-0.0156208,2,-0.0464428,2
06/05/2019 1:21:00,06/05/2019 2:06:00,6.3007,,2.8036,,0.535813,,1.36389,,0.0526737,,0.605767,,0.527174,2,0.157604,,0.143885,,0.0819259,,0.317062,,0.175886,,0.107632,,0.347727,,0.0461748,,0.0364979,,0.0754648,,0.0411852,,0.0214885,4,0.00636759,4,0.0253593,4,0.0189392,4,,1,0.00849604,2,-0.0324686,2
06/05/2019 2:23:00,06/05/2019 3:08:00,4.7951,,2.06941,,0.376596,,0.902302,,0.0409463,,0.399982,,0.334587,2,0.116484,,0.122405,,,1,0.238227,,0.0963675,,0.0833161,,0.230619,,0.031437,,0.019685,4,0.0550005,,0.0184531,4,0.0115183,4,-0.00178055,4,-0.00231993,4,0.0022955,4,-0.00871287,4,-0.0187295,2,-0.0574882,2
06/05/2019 3:25:00,06/05/2019 4:10:00,6.25,,2.54298,,0.461499,,1.04276,,0.0428905,,0.492685,,0.426283,2,0.138661,,0.136943,,0.0859523,,0.259895,,0.118857,,0.0987978,,0.30804,,0.0349583,,0.0324558,,0.114113,,0.034033,,0.0149768,4,0.00265848,4,0.0131885,4,0.00344893,4,,1,-0.0187631,2,-0.0552532,2
06/05/2019 4:27:00,06/05/2019 5:12:00,5.07359,,2.02117,,0.353336,,0.829376,,0.0407782,,0.405576,,0.354746,2,0.132496,,0.125452,,0.0851348,,0.225888,,0.0979394,,0.0936791,,0.251101,,0.0313223,,0.0162646,4,0.0443997,,0.019874,4,0.0119171,4,-0.00265686,4,0.00299547,4,-0.00170112,4,,1,-0.0223641,2,-0.0586112,2
06/05/2019 5:29:00,06/05/2019 6:14:00,5.11458,,1.74603,,0.329543,,0.746406,,0.0175614,4,0.379351,,0.307471,2,0.110649,,0.119455,,,1,0.200274,,0.0913832,,0.0858983,,0.222358,,0.0307607,,0.021297,4,0.072231,,0.0206088,4,0.0107417,4,0.0074846,4,-0.00690504,4,-0.00314582,4,,1,-0.0229303,2,-0.0614309,2
06/05/2019 6:32:00,06/05/2019 7:17:00,3.83253,,1.70896,,0.292695,,0.735701,,0.040791,,0.362346,,0.298453,2,0.11676,,0.1197,,0.0922957,,0.206176,,0.0921056,,0.0877024,,0.211903,,0.0351499,,0.0204002,4,0.0365996,,0.0196446,4,0.011191,4,0.000801388,4,-0.00353901,4,-0.00223765,4,,1,-0.0205235,2,-0.0605362,2
06/05/2019 7:34:00,06/05/2019 8:19:00,5.35414,,2.97133,,0.791924,,1.72612,,0.0949686,,0.768095,,0.884344,2,0.240755,,0.205497,,0.105102,,0.651707,,0.272694,,0.159041,,0.534997,,0.260806,,0.0492102,,0.275786,,0.0670691,,0.167032,,0.00080324,4,0.067231,,0.155063,,-0.00118871,4,0.0811791,2,-0.0133992,2
06/05/2019 8:36:00,06/05/2019 9:21:00,4.35161,,2.71574,,0.590372,,1.49386,,0.0529874,,0.510847,,0.49821,2,0.152959,,0.151155,,0.0900495,,0.252376,,0.134848,,0.101693,,0.193838,,0.0551562,,0.0198042,4,0.0606797,,0.0171397,4,0.0231343,4,-0.00353638,4,-0.0082644,4,0.0066682,4,,1,-0.0139209,2,-0.053669,2
06/05/2019 9:38:00,06/05/2019 10:23:00,7.85355,,5.04922,,0.99071,,2.62627,,0.070633,,0.754177,,0.785351,2,0.177721,,0.175064,,0.0950557,,0.354919,,0.179122,,0.129339,,0.185826,,0.0597451,,0.0199755,4,0.0571975,,0.0131263,4,0.0244685,4,,1,-0.011068,4,0.0100245,4,-0.0173381,4,-0.0076478,2,-0.0593984,2
06/05/2019 10:40:00,06/05/2019 11:25:00,4.28055,,2.25573,,0.456061,,1.19239,,0.0432864,,0.392784,,0.347206,2,0.105447,,0.115227,,0.0838849,,0.14772,,0.0851878,,0.076518,,0.0906993,,0.0259198,4,0.00835428,4,-0.00694158,4,0.00129497,4,0.00619153,4,-0.0113442,4,-0.0221112,4,-0.00577801,4,,1,-0.02619,2,-0.0637444,2
06/05/2019 11:42:00,06/05/2019 12:27:00,2.92008,,1.5416,,0.269089,,0.686491,,0.0343245,,0.264788,,0.231904,2,0.0839209,,0.0988037,,,1,0.0888141,,0.0598148,,0.0680116,,0.0843938,,0.0167012,4,0.00529204,4,-0.0126298,4,-0.00185898,4,0.000870211,4,-0.00826235,4,-0.0256069,4,-0.0119595,4,-0.0194656,4,-0.0299434,2,-0.0681625,2
06/05/2019 13:46:00,06/05/2019 14:31:00,3.75654,,2.28834,,0.424224,,1.14602,,0.0360444,,0.333227,,0.318981,2,0.104212,,0.119393,,0.10095,,0.114844,,0.0248631,4,0.0764469,,0.0819427,,0.0210859,4,0.0075852,4,0.00220317,4,0.000701391,4,0.00341094,4,,1,-0.0186639,4,-0.00712193,4,,1,-0.0217738,2,-0.0446219,2
06/05/2019 14:48:00,06/05/2019 15:33:00,3.18,,1.5126,,0.277526,,0.752968,,0.0359563,,0.268606,,0.260713,2,0.0828453,,0.100202,,0.0865583,,0.0886206,,0.0683926,,0.0656963,,0.0471449,,0.0194409,4,0.00280164,4,0.00467518,4,-0.00120302,4,0.00179251,4,-0.0113442,4,-0.0136719,4,-0.00960462,4,,1,-0.026783,2,-0.0593597,2
