StartTime_[LST],EndTime_[LST],ethane_[ppbV],ethane_Flags,propane_[ppbV],propane_Flags,isobutane_[ppbV],isobutane_Flags,n-butane_[ppbV],n-butane_Flags,cyclopentane_[ppbV],cyclopentane_Flags,isopentane_[ppbV],isopentane_Flags,n-pentane_[ppbV],n-pentane_Flags,2-methyl-pentane_[ppbV],2-methyl-pentane_Flags,3-methyl-pentane_[ppbV],3-methyl-pentane_Flags,isoprene_[ppbV],isoprene_Flags,n-hexane_[ppbV],n-hexane_Flags,methyl-cyclopentane_[ppbV],methyl-cyclopentane_Flags,benzene_[ppbV],benzene_Flags,toluene_[ppbV],toluene_Flags,n-octane_[ppbV],n-octane_Flags,ethyl-benzene_[ppbV],ethyl-benzene_Flags,"m,p-xylene_[ppbV]","m,p-xylene_Flags",o-xylene_[ppbV],o-xylene_Flags,n-nonane_[ppbV],n-nonane_Flags,p-ethyl-toluene_[ppbV],p-ethyl-toluene_Flags,"1,2,4-trimethyl-benzene_[ppbV]","1,2,4-trimethyl-benzene_Flags",n-decane_[ppbV],n-decane_Flags,p-diethyl-benzene_[ppbV],p-diethyl-benzene_Flags,n-undecane_[ppbV],n-undecane_Flags,n-dodecane_[ppbV],n-dodecane_Flags
07/08/2019 11:40:00,07/08/2019 12:24:00,10.5078,,6.83436,,1.31934,,3.45353,,0.141959,,1.36547,,1.59407,,0.480893,,0.532042,,0.0871814,,0.797627,,0.481561,,0.156853,,0.378388,,0.16066,,0.0452607,,0.152623,,0.0552273,,0.126634,,0.0247917,4,0.0696953,,0.0737509,,0.00256369,4,0.0428432,,-0.0129676,4
07/08/2019 12:39:00,07/08/2019 13:23:00,9.47906,,6.73408,,1.2464,,3.23953,,0.10791,,1.24547,,1.24568,,0.374652,,0.358919,,0.119095,,0.532924,,0.15856,,0.125789,,0.247503,,0.083243,,0.0250889,4,0.0523608,,0.0288363,4,0.0619787,,0.0223598,4,0.0165783,4,0.0354921,,0.0295341,4,0.00257783,4,-0.0877665,4
07/08/2019 13:38:00,07/08/2019 14:23:00,2.70268,,1.53531,,0.266075,,0.669648,,0.0488443,,0.381458,,0.34127,,0.185274,,0.17147,,0.0907226,,0.24162,,0.10457,,0.0547717,,0.141759,,0.0735329,,0.0140972,4,0.0230484,4,0.0137932,4,0.0342059,,0.00704671,4,0.0143809,4,0.00523058,4,,1,-0.0222103,4,-0.107051,4
07/08/2019 14:37:00,07/08/2019 15:22:00,3.00495,,1.84988,,0.374181,,0.9971,,0.040373,,0.427221,,0.384098,,0.146328,,0.160309,,0.108102,,0.15446,,0.0609931,,0.058491,,0.0992742,,0.0154041,4,0.00164818,4,0.0209285,4,0.00028761,4,-0.00082232,4,,1,-0.0233989,4,-0.0185383,4,,1,-0.0473348,4,-0.127969,4
07/08/2019 15:36:00,07/08/2019 16:20:00,2.70974,,1.57901,,0.305145,,0.79437,,0.0389757,,0.342982,,0.298086,,0.11395,,0.139911,,0.0521149,,0.12371,,0.0530909,,0.0468156,,0.0821232,,0.0165164,4,0.000858468,4,0.00972996,4,-0.00177824,4,-0.0016851,4,,1,-0.0279768,4,-0.0186842,4,,1,-0.0515182,4,-0.134939,4
07/08/2019 16:35:00,07/08/2019 17:20:00,9.72356,,6.84257,,1.59972,,4.66245,,0.24813,,1.08451,,2.70991,,1.02637,,0.833913,,0.0902122,,1.59025,,1.01688,,0.316831,,0.753834,,0.390853,,0.0954237,,0.390025,,0.136543,,0.33682,,0.130628,,0.187454,,0.21101,,-0.0114581,4,0.142974,,0.065229,
07/08/2019 17:34:00,07/08/2019 18:19:00,6.43742,,3.99158,,0.802614,,2.39022,,0.128695,,1.26598,,1.34966,,0.564499,,0.495924,,0.149971,,0.798137,,0.289357,,0.184483,,0.534758,,0.281891,,0.0642999,,0.123616,,0.0738507,,0.146457,,0.00154242,4,0.0744566,,0.0893512,,0.0179752,4,0.0371894,,-0.0522903,4
07/08/2019 18:33:00,07/08/2019 19:18:00,4.42225,,2.49348,,0.464486,,1.23838,,0.0556375,,0.353826,,0.556995,,0.216525,,0.224047,,0.183168,,0.283098,,0.114518,,0.0900679,,0.219051,,0.0607551,,0.012707,4,0.0576945,,0.0176788,4,0.0299054,4,-0.0148448,4,0.00199699,4,0.0106661,4,,1,-0.0177809,4,-0.108799,4
07/08/2019 19:32:00,07/08/2019 20:17:00,215.819,,130.114,,22.4559,,63.8358,,2.87619,,23.3324,,33.6992,,15.0382,,7.84748,,,1,19.1476,,9.03379,,3.61349,,8.40153,,4.76197,,1.1911,,4.67406,,1.60015,,3.83836,,1.09957,,2.30727,,2.42492,,,1,1.89099,,1.72559,
07/08/2019 20:31:00,07/08/2019 21:16:00,11.5689,,6.66412,,1.31605,,3.48035,,0.149596,,1.72877,,1.7264,,0.803668,,0.728338,,0.119793,,0.704987,,0.417489,,0.157838,,0.466542,,0.218551,,0.16508,,0.231045,,0.0493706,,0.0973366,,,1,0.0837349,,0.0962019,,,1,0.226999,,-0.0109682,4
