StartTime_[LST],EndTime_[LST],ethane_[ppbV],ethane_Flags,propane_[ppbV],propane_Flags,isobutane_[ppbV],isobutane_Flags,n-butane_[ppbV],n-butane_Flags,cyclopentane_[ppbV],cyclopentane_Flags,isopentane_[ppbV],isopentane_Flags,n-pentane_[ppbV],n-pentane_Flags,2-methyl-pentane_[ppbV],2-methyl-pentane_Flags,3-methyl-pentane_[ppbV],3-methyl-pentane_Flags,isoprene_[ppbV],isoprene_Flags,n-hexane_[ppbV],n-hexane_Flags,methyl-cyclopentane_[ppbV],methyl-cyclopentane_Flags,benzene_[ppbV],benzene_Flags,toluene_[ppbV],toluene_Flags,n-octane_[ppbV],n-octane_Flags,ethyl-benzene_[ppbV],ethyl-benzene_Flags,"m,p-xylene_[ppbV]","m,p-xylene_Flags",o-xylene_[ppbV],o-xylene_Flags,n-nonane_[ppbV],n-nonane_Flags,p-ethyl-toluene_[ppbV],p-ethyl-toluene_Flags,"1,2,4-trimethyl-benzene_[ppbV]","1,2,4-trimethyl-benzene_Flags",n-decane_[ppbV],n-decane_Flags,p-diethyl-benzene_[ppbV],p-diethyl-benzene_Flags,n-undecane_[ppbV],n-undecane_Flags,n-dodecane_[ppbV],n-dodecane_Flags
01/29/2020 16:55:49,01/29/2020 17:40:19,5.10697,,4.98593,,0.519672,,1.32061,,0.0458486,,0.448769,,0.450483,,0.126541,,0.115801,,0.0932705,,0.127103,,0.0505124,,0.118009,,0.133347,,0.0210154,4,0.0142174,4,0.0338476,,0.0140737,4,0.0125183,4,0.00621109,4,-0.0197017,4,-0.0059042,4,,1,-0.028409,4,0.0455029,
01/29/2020 17:53:45,01/29/2020 18:38:16,11.2606,,6.51351,,0.911742,,2.51838,,0.0640368,,0.417647,,0.843671,,0.213852,,0.10691,,0.0617467,,0.234644,,0.0857064,,0.108324,,0.112973,,0.0130972,4,0.00846996,4,0.0312652,,0.00416523,4,0.0106394,4,0.00158767,4,-0.0381925,4,-0.0111503,4,,1,-0.0405165,4,0.0122945,4
01/29/2020 18:51:30,01/29/2020 19:35:59,9.30474,,7.79691,,0.915473,,2.30835,,0.0654708,,0.739556,,0.83049,,0.160065,,0.0875268,,0.0374442,,0.237321,,0.0880938,,0.137947,,0.146458,,0.0187711,4,0.00782504,4,0.0317018,,0.00333356,4,0.00943246,4,-0.00121036,4,-0.0406388,4,-0.0121324,4,,1,-0.0430888,4,0.00511524,4
01/29/2020 19:49:01,01/29/2020 20:33:28,14.9739,,9.68449,,1.6276,,4.53058,,0.116853,,1.404,,1.61803,,0.437831,,0.360956,,0.0708277,,0.583485,,0.220727,,0.150551,,0.258481,,0.0406735,,0.019769,4,0.0612159,,0.0174557,4,0.027091,4,0.00103441,4,-0.024554,4,0.00456525,4,,1,-0.0320604,4,0.00785227,4
01/29/2020 20:46:34,01/29/2020 21:31:02,16.4241,,11.2961,,1.89658,,5.27658,,0.122379,,1.60517,,1.8523,,0.489499,,0.405638,,,1,0.623995,,0.246434,,0.16709,,0.290459,,0.0545723,,0.0203654,4,0.0595852,,0.0168981,4,0.0261405,4,0.00220701,4,-0.0251215,4,-0.00301091,4,,1,-0.0373957,4,0.0035179,4
01/29/2020 21:44:01,01/29/2020 22:28:28,16.1661,,10.7858,,1.90048,,5.07194,,0.117963,,1.57422,,1.82482,,0.66864,,0.392144,,0.0293214,4,0.587574,,0.207753,,0.160345,,0.291093,,0.0564802,,0.0205388,4,0.0929157,,0.0262658,4,0.0238534,4,0.00261552,4,-0.0259858,4,-0.00247359,4,,1,-0.0372917,4,0.00217356,4
01/29/2020 22:41:30,01/29/2020 23:25:57,18.4188,,10.4098,,3.88266,,7.14277,,0.117009,,1.40293,,1.75764,,1.66798,,0.453438,,,1,0.565127,,0.203865,,0.169913,,0.346191,,0.0337641,,0.0236674,4,0.111262,,0.0259664,4,0.0242883,4,,1,-0.02269,4,-0.00277356,4,,1,-0.0389912,4,0.00260873,4
01/29/2020 23:38:59,01/30/2020 0:23:26,21.1423,,10.6512,,1.72382,,4.34777,,0.0984732,,1.30088,,1.48402,,0.487418,,0.343158,,0.0416155,,0.496252,,0.166475,,0.159428,,0.31824,,0.0334968,,0.024097,4,0.111479,,0.0248685,4,0.023351,4,-0.00722211,4,-0.0206367,4,-0.00172598,4,,1,-0.0363914,4,0.00157641,4
01/30/2020 0:36:24,01/30/2020 1:20:51,15.8634,,7.64402,,1.28147,,3.35153,,0.078672,,1.13799,,1.20908,,0.420292,,0.285186,,,1,0.420001,,0.14091,,0.149632,,0.252466,,0.0311158,,0.0260322,4,0.116187,,0.0267179,4,0.0283193,4,0.00512302,4,-0.0157029,4,0.00531206,4,,1,-0.0320185,4,0.00347044,4
01/30/2020 1:33:50,01/30/2020 2:18:18,14.7099,,6.40792,,1.48991,,3.30516,,0.068959,,1.01374,,0.989681,,0.360408,,0.244515,,0.0341253,,0.342448,,0.114131,,0.145768,,0.30489,,0.0235656,4,0.0263322,4,0.109138,,0.0254545,4,0.0210162,4,0.00566105,4,-0.0186742,4,-0.00572803,4,-0.0134922,4,-0.0395089,4,0.00535452,4
01/30/2020 2:31:18,01/30/2020 3:15:46,13.173,,4.45836,,0.929504,,2.05892,,0.0574166,,0.747689,,0.6027,,0.246024,,0.175153,,0.0370094,,0.243302,,0.085168,,0.134031,,0.345334,,0.0200038,4,0.0377906,,0.141398,,0.0347218,,0.0169738,4,0.00482376,4,-0.0116004,4,-0.00658428,4,,1,-0.0401366,4,0.0108144,4
01/30/2020 3:28:49,01/30/2020 4:13:15,15.6837,,4.89681,,0.913631,,2.19572,,0.0582233,,0.7509,,0.603996,,0.285543,,0.187834,,0.0357533,,0.285287,,0.0898542,,0.144874,,0.430588,,0.0281283,4,0.0409489,,0.107938,,0.0471869,,0.0219987,4,0.00703453,4,-0.000876272,4,-0.00240774,4,-0.00818727,4,-0.0407909,4,0.00335214,4
01/30/2020 4:26:12,01/30/2020 5:10:39,15.4943,,4.6921,,0.878636,,1.96204,,0.0487793,,0.760183,,0.663818,,0.180961,,0.17288,,,1,0.257162,,0.0904793,,0.114072,,0.370282,,0.0193441,4,0.0340046,,0.131151,,0.0369628,,0.0184188,4,0.0051469,4,-0.0119323,4,-0.00562635,4,-0.00686413,4,-0.03776,4,0.000749998,4
01/30/2020 5:23:36,01/30/2020 6:08:03,7.00413,,2.09821,,0.351908,,0.742307,,0.0268268,4,0.271756,,0.228623,,0.0898163,,0.0339885,,0.0354716,,0.062028,,0.0211674,4,0.0781624,,0.131151,,-0.00678174,4,0.00764536,4,0.0238791,4,0.00277257,4,0.000650729,4,-0.00387524,4,-0.039456,4,-0.0196732,4,,1,-0.0492704,4,-0.010151,4
