StartTime_[LST],EndTime_[LST],WindSpeed_[m/s],WindDirection_[degrees],RH_[percent],T(ambient)_[C],P(barometric)_[mmHG],T(shelter)_[C],SolarRadiation_[W/m2],VOC(pid)_[ppbV],PM2.5(LTP)_[ug/m3],PM10(LTP)_[ug/m3],CO2_[ppmV],CH4_[ppmV],NO_[ppbV],NO2_[ppbV],NOx_[ppbV],O3_[ppbV]
01/29/2020 16:00:00,01/29/2020 16:00:59,3,50.5,50,5.2,626.653,28.9,97,,3.3,5.7,417.35,2.006,3.758,13.801,17.559,42.737
01/29/2020 16:01:00,01/29/2020 16:01:59,,54.9,50.8,5.1,626.653,28.9,103.46,,3.2,5.4,417.25,2.005,3.371,13.546,16.918,42.335
01/29/2020 16:02:00,01/29/2020 16:02:59,,65.1,51,5.1,626.657,29,108.938,,3.7,7.6,417.75,2.004,2.785,13.097,15.883,42.637
01/29/2020 16:03:00,01/29/2020 16:03:59,,69.9,51,5,626.66,29,111.533,,4.9,15.8,422.25,2.005,2.478,12.671,15.149,42.185
01/29/2020 16:04:00,01/29/2020 16:04:59,,64.4,51,5,626.667,29,134.596,,5.9,23.8,417.45,1.996,2.36,12.627,14.979,42.574
01/29/2020 16:05:00,01/29/2020 16:05:59,,67.9,51,5,626.663,29,167.161,,3.5,7.1,418.15,1.998,2.188,12.462,14.639,43.901
01/29/2020 16:06:00,01/29/2020 16:06:59,,74.2,51,5,626.66,29,114.611,,3.3,5.1,427.15,2.004,2.126,12.507,14.633,42.463
01/29/2020 16:07:00,01/29/2020 16:07:59,3.5,64.1,51,5,626.657,29,109.958,,3.2,5.1,417.65,1.997,2.034,12.63,14.664,41.737
01/29/2020 16:08:00,01/29/2020 16:08:59,3.3,66.4,51,5,626.663,29,105.391,,3.2,5.3,417.25,1.997,1.926,12.568,14.494,43.094
01/29/2020 16:09:00,01/29/2020 16:09:59,,69.7,51,5,626.67,29,116.983,,3.2,5.2,419.05,2.002,1.821,12.559,14.381,43.3
01/29/2020 16:10:00,01/29/2020 16:10:59,,78.7,51,5,626.673,29,120.988,,3.1,5.7,427.65,2.015,1.924,12.557,14.483,41.599
