StartTime_[LST],EndTime_[LST],ethane_[ppbV],ethane_Flags,propane_[ppbV],propane_Flags,isobutane_[ppbV],isobutane_Flags,n-butane_[ppbV],n-butane_Flags,cyclopentane_[ppbV],cyclopentane_Flags,isopentane_[ppbV],isopentane_Flags,n-pentane_[ppbV],n-pentane_Flags,2-methyl-pentane_[ppbV],2-methyl-pentane_Flags,3-methyl-pentane_[ppbV],3-methyl-pentane_Flags,isoprene_[ppbV],isoprene_Flags,n-hexane_[ppbV],n-hexane_Flags,methyl-cyclopentane_[ppbV],methyl-cyclopentane_Flags,benzene_[ppbV],benzene_Flags,toluene_[ppbV],toluene_Flags,n-octane_[ppbV],n-octane_Flags,ethyl-benzene_[ppbV],ethyl-benzene_Flags,"m,p-xylene_[ppbV]","m,p-xylene_Flags",o-xylene_[ppbV],o-xylene_Flags,n-nonane_[ppbV],n-nonane_Flags,p-ethyl-toluene_[ppbV],p-ethyl-toluene_Flags,"1,2,4-trimethyl-benzene_[ppbV]","1,2,4-trimethyl-benzene_Flags",n-decane_[ppbV],n-decane_Flags,p-diethyl-benzene_[ppbV],p-diethyl-benzene_Flags,n-undecane_[ppbV],n-undecane_Flags,n-dodecane_[ppbV],n-dodecane_Flags
10/31/2018 14:09:00,10/31/2018 14:39:00,2.62642,,0.923508,,0.224187,,0.571938,,0.0246592,4,0.245689,,0.17905,,0.0512374,,0.0432625,,0.0689779,,0.1269,,0.0254504,4,0.0930778,,0.174711,,0.0227368,4,0.038791,,0.0744305,,0.0349244,,0.015283,4,0.0309311,,0.0350149,,0.0122287,4,,1,0.0146571,4,0.042229,
10/31/2018 15:05:00,10/31/2018 15:35:00,3.25705,,1.12597,,0.265344,,0.69173,,0.0333896,,0.276607,,0.221803,,0.0641855,,0.047349,,,1,0.153014,,0.0780467,,0.108474,,0.270725,,0.0261498,4,0.0451126,,0.102777,,0.0390786,,0.0179252,4,0.0326085,,0.0433968,,0.0178235,4,,1,0.0156784,4,0.0496946,
10/31/2018 16:02:00,10/31/2018 16:32:00,3.17267,,1.19792,,0.330848,,0.833147,,0.0294157,4,0.380865,,0.258883,,0.0639089,,0.0567651,,,1,0.172453,,0.086782,,0.110376,,0.262459,,0.0299592,4,0.0452109,,0.100143,,0.0450825,,0.0182894,4,0.0275603,4,0.0465808,,0.0176605,4,,1,0.0145814,4,0.0416883,
10/31/2018 16:58:00,10/31/2018 17:28:00,3.20397,,1.32457,,0.378706,,0.957704,,0.0332768,,0.446297,,0.302413,,0.0817258,,0.0639246,,0.07125,,0.189145,,0.0988203,,0.205231,,0.287923,,0.0374777,,0.04756,,0.123613,,0.0462607,,0.0186312,4,0.0298804,4,0.0604645,,0.0181087,4,0.0108167,4,0.0151738,4,0.0247612,4
10/31/2018 17:54:00,10/31/2018 18:24:00,3.63902,,1.8323,,0.533471,,1.24032,,0.0363917,,0.515542,,0.310754,,0.106976,,0.0949202,,0.0765228,,0.241506,,0.119292,,0.261284,,0.361825,,0.0371835,,0.0608068,,0.122569,,0.059962,,0.022952,4,0.0363788,,0.0938001,,0.0201616,4,0.0185233,4,0.0179748,4,0.0454301,
10/31/2018 18:50:00,10/31/2018 19:20:00,4.98935,,1.83156,,0.635652,,1.39468,,0.0416325,,0.594665,,0.365593,,0.1332,,0.112192,,0.0857078,,0.265503,,0.137253,,0.291858,,0.468039,,0.0563187,,0.079661,,0.24631,,0.0809925,,0.0293709,4,0.0487776,,0.0905577,,0.0244181,4,0.0368501,,0.0193648,4,0.04767,
10/31/2018 19:47:00,10/31/2018 20:17:00,7.51774,,2.24009,,0.713901,,1.54916,,0.04889,,0.674924,,0.435989,,0.167038,,0.138731,,0.090729,,0.3536,,0.17019,,0.268834,,0.592926,,0.0511004,,0.0963246,,0.295,,0.0941832,,0.0339429,,0.0538232,,0.142719,,0.0305671,,0.0586485,,0.0233023,4,0.0725107,
10/31/2018 20:43:00,10/31/2018 21:13:00,6.28608,,2.5085,,0.63181,,1.32489,,0.0395261,,0.517201,,0.400254,,0.111949,,0.100458,,0.0792347,,0.350257,,0.136513,,0.238021,,0.382466,,0.0367723,,0.0624721,,0.125197,,0.0600053,,0.0245616,4,0.0441135,,0.0761504,,0.0193457,4,0.0269041,4,0.0147482,4,0.0460205,
10/31/2018 21:39:00,10/31/2018 22:09:00,6.6759,,2.28704,,0.55629,,1.12304,,0.0379188,,0.467717,,0.315977,,0.10832,,0.0925207,,0.0791461,,0.285923,,0.123769,,0.194808,,0.380058,,0.039553,,0.0669201,,0.126785,,0.0689893,,0.024598,4,0.0496054,,0.0593374,,0.0201417,4,0.0332432,,0.0168989,4,0.0501329,
10/31/2018 22:36:00,10/31/2018 23:06:00,7.23023,,2.38487,,0.548812,,1.14664,,0.0402865,,0.478499,,0.343527,,0.116418,,0.0925215,,0.0788961,,0.324929,,0.137038,,0.192068,,0.445602,,0.0428861,,0.0721216,,0.146524,,0.0775499,,0.0298233,4,0.0545956,,0.071803,,0.0216373,4,,1,0.0180542,4,0.0484532,
