StartTime_[LST],EndTime_[LST],ethane_[ppbV],ethane_Flags,propane_[ppbV],propane_Flags,isobutane_[ppbV],isobutane_Flags,n-butane_[ppbV],n-butane_Flags,cyclopentane_[ppbV],cyclopentane_Flags,isopentane_[ppbV],isopentane_Flags,n-pentane_[ppbV],n-pentane_Flags,2-methyl-pentane_[ppbV],2-methyl-pentane_Flags,3-methyl-pentane_[ppbV],3-methyl-pentane_Flags,isoprene_[ppbV],isoprene_Flags,n-hexane_[ppbV],n-hexane_Flags,methyl-cyclopentane_[ppbV],methyl-cyclopentane_Flags,benzene_[ppbV],benzene_Flags,toluene_[ppbV],toluene_Flags,n-octane_[ppbV],n-octane_Flags,ethyl-benzene_[ppbV],ethyl-benzene_Flags,"m,p-xylene_[ppbV]","m,p-xylene_Flags",o-xylene_[ppbV],o-xylene_Flags,n-nonane_[ppbV],n-nonane_Flags,p-ethyl-toluene_[ppbV],p-ethyl-toluene_Flags,"1,2,4-trimethyl-benzene_[ppbV]","1,2,4-trimethyl-benzene_Flags",n-decane_[ppbV],n-decane_Flags,p-diethyl-benzene_[ppbV],p-diethyl-benzene_Flags,n-undecane_[ppbV],n-undecane_Flags,n-dodecane_[ppbV],n-dodecane_Flags
12/20/2018 13:02:00,12/20/2018 13:32:00,6.14112,,3.98414,,0.726608,,1.79196,,0.0437458,,0.496436,,0.466128,,0.129325,,0.141965,,0.0580358,,0.190502,,0.092351,,0.1826,,0.0957664,,0.0294232,4,0.0183397,4,0.0235327,4,0.027239,4,0.0224274,4,0.0203051,4,0.0235683,4,0.0219177,4,,1,0.00940377,4,-0.0125352,4
12/20/2018 13:59:00,12/20/2018 14:29:00,12.222,,9.67272,,2.02074,,5.30007,,0.125152,,1.44779,,1.69003,,0.386329,,0.256324,,0.0458601,,0.605537,,0.257709,,0.166973,,0.128047,,0.0502519,,0.0194084,4,0.040333,,0.0289958,4,0.0264947,4,0.0201135,4,0.00944289,4,0.0131484,4,,1,0.00558226,4,-0.0172823,4
12/20/2018 14:55:00,12/20/2018 15:25:00,8.87737,,5.76414,,1.13472,,2.77109,,0.0720703,,0.780178,,0.838903,,0.192792,,0.200253,,,1,0.332825,,0.187191,,0.161626,,0.0937395,,0.0664637,,0.0155689,4,0.0352463,,0.0218235,4,0.0393861,,0.014089,4,0.0196739,4,0.0348656,,,1,0.0157874,4,-0.0137262,4
12/20/2018 15:51:00,12/20/2018 16:21:00,12.0658,,6.70721,,1.38487,,3.2374,,0.0772285,,0.971695,,0.988426,,0.240056,,0.206779,,0.0496554,,0.33994,,0.210849,,0.17232,,0.154566,,0.0540338,,0.0227228,4,0.0729547,,0.0302952,,0.0468067,,0.0259507,4,0.0335023,,0.0422521,,0.0177351,4,0.0212484,4,-0.0091833,4
12/20/2018 16:48:00,12/20/2018 17:18:00,23.9058,,26.3516,,6.55891,,17.2271,,0.350391,,4.63735,,5.00754,,1.20944,,0.916773,,,1,1.91503,,1.1875,,0.594536,,0.766483,,0.439567,,0.0594261,,0.355061,,0.0905917,,0.134156,,0.029026,4,0.0836475,,0.0883841,,0.0290112,4,0.0587122,,0.0090077,4
12/20/2018 17:44:00,12/20/2018 18:14:00,24.9131,,20.3978,,4.17768,,9.95069,,0.21238,,2.82893,,2.93406,,0.724824,,0.598156,,0.101627,,1.17415,,0.609142,,0.27046,,0.504615,,0.106098,,0.103986,,0.318716,,0.116038,,0.0699044,,0.0396131,,0.0953042,,0.0564177,,0.0332507,,0.0290201,4,-0.00161095,4
12/20/2018 18:40:00,12/20/2018 19:10:00,21.8802,,11.9491,,2.88062,,7.09012,,0.17376,,2.38287,,2.28056,,0.646599,,0.578955,,0.0804261,,1.10207,,0.579961,,0.422313,,0.792886,,0.103047,,0.102075,,0.344181,,0.131828,,0.072769,,0.0486159,,0.127635,,0.0525555,,0.0259676,4,0.0264929,4,0.00553013,4
12/20/2018 19:37:00,12/20/2018 20:07:00,13.4574,,7.13502,,1.72093,,4.12317,,0.104464,,1.47657,,1.27705,,0.334565,,0.342615,,0.0746909,,0.597283,,0.295743,,0.323344,,0.603618,,0.0692983,,0.0766477,,0.194493,,0.0881286,,0.0690835,,0.0342384,,0.0909067,,0.055146,,0.0212829,4,0.0319707,,0.0058611,4
12/20/2018 20:33:00,12/20/2018 21:03:00,19.3488,,8.89647,,2.46881,,5.63614,,0.129251,,1.97284,,1.62722,,0.506307,,0.442347,,0.0835202,,0.773741,,0.35005,,0.397473,,0.889195,,0.136794,,0.117835,,0.251835,,0.126397,,0.0768025,,0.0588305,,0.142952,,0.058388,,0.0293736,4,0.0342518,,0.0131896,4
12/20/2018 21:29:00,12/20/2018 21:59:00,24.3129,,13.132,,3.13102,,7.54564,,0.158872,,2.32182,,2.18182,,0.587617,,0.495284,,0.069157,,0.885207,,0.390019,,0.365952,,0.737831,,0.122761,,0.0947859,,0.334987,,0.109246,,0.0748653,,0.0351408,,0.118764,,0.0606298,,0.0289167,4,0.0299728,4,0.00605986,4
12/20/2018 22:26:00,12/20/2018 22:56:00,15.5335,,8.55363,,1.82722,,4.29821,,0.100858,,1.32397,,1.27546,,0.317484,,0.313243,,0.0637551,,0.491128,,0.224114,,0.234708,,0.379028,,0.0740133,,0.0504806,,0.104494,,0.0633338,,0.0457809,,0.0300091,,0.0612941,,0.0391397,,0.0284498,4,0.0188795,4,-0.0144173,4
12/20/2018 23:22:00,12/20/2018 23:52:00,15.2902,,9.21587,,1.7921,,4.20031,,0.0953286,,1.26863,,1.24106,,0.299977,,0.257283,,0.0497773,,0.470499,,0.205007,,0.202513,,0.271527,,0.0498014,,0.0344116,,0.100312,,0.0461588,,0.0442835,,0.0286929,4,0.0426497,,0.0372623,,0.0235935,4,0.0171911,4,-0.0146645,4
12/21/2018 0:18:00,12/21/2018 0:48:00,17.4962,,9.29142,,1.81323,,4.27582,,0.0926559,,1.27863,,1.24342,,0.311524,,0.285173,,0.0636077,,0.526734,,0.217498,,0.244728,,0.371723,,0.0489156,,0.0496237,,0.0966605,,0.0572505,,0.0488486,,0.0348955,,0.0597469,,0.0406254,,0.0217604,4,0.01816,4,-0.00983516,4
