StartTime_[LST],EndTime_[LST],ethane_[ppbV],ethane_Flags,propane_[ppbV],propane_Flags,isobutane_[ppbV],isobutane_Flags,n-butane_[ppbV],n-butane_Flags,cyclopentane_[ppbV],cyclopentane_Flags,isopentane_[ppbV],isopentane_Flags,n-pentane_[ppbV],n-pentane_Flags,2-methyl-pentane_[ppbV],2-methyl-pentane_Flags,3-methyl-pentane_[ppbV],3-methyl-pentane_Flags,isoprene_[ppbV],isoprene_Flags,n-hexane_[ppbV],n-hexane_Flags,methyl-cyclopentane_[ppbV],methyl-cyclopentane_Flags,benzene_[ppbV],benzene_Flags,toluene_[ppbV],toluene_Flags,n-octane_[ppbV],n-octane_Flags,ethyl-benzene_[ppbV],ethyl-benzene_Flags,"m,p-xylene_[ppbV]","m,p-xylene_Flags",o-xylene_[ppbV],o-xylene_Flags,n-nonane_[ppbV],n-nonane_Flags,p-ethyl-toluene_[ppbV],p-ethyl-toluene_Flags,"1,2,4-trimethyl-benzene_[ppbV]","1,2,4-trimethyl-benzene_Flags",n-decane_[ppbV],n-decane_Flags,p-diethyl-benzene_[ppbV],p-diethyl-benzene_Flags,n-undecane_[ppbV],n-undecane_Flags,n-dodecane_[ppbV],n-dodecane_Flags
05/06/2019 10:49:00,05/06/2019 11:34:00,6.80075,,4.11499,,0.795556,,2.07346,,0.0500533,,0.548044,,0.565834,,0.187812,,0.161365,,0.0548417,,0.232481,,0.118762,,0.117041,,0.0867453,,0.0237344,4,0.00194935,4,-0.00326782,4,-0.00672469,4,0.00376116,4,,1,,1,-0.0126936,4,,1,-0.0338621,4,-0.0719636,2
05/06/2019 11:52:00,05/06/2019 12:37:00,4.63279,,2.67007,,0.4981,,1.34026,,0.0389149,,0.369089,,0.375462,,0.123567,,0.123092,,,1,0.162517,,0.0734044,,0.0808261,,0.0519208,,0.0132456,4,-0.00232615,4,-0.00970541,4,-0.00994629,4,0.00185585,4,,1,,1,-0.0161592,4,,1,-0.0447715,4,-0.089723,2
05/06/2019 15:03:00,05/06/2019 15:48:00,7.07385,,4.39989,,0.928355,,2.28223,,0.0425155,,0.577673,,0.558177,,0.144698,,0.162171,,0.073585,,0.19826,,0.0841716,,0.0746626,,0.0526996,,0.00698713,4,-0.0022027,4,-0.00129833,4,-0.00810207,4,-0.00162852,4,,1,,1,-0.0160014,4,,1,-0.0375767,4,-0.0701801,2
05/06/2019 16:07:00,05/06/2019 16:52:00,5.02081,,2.76816,,0.510956,,1.3166,,0.0321672,,0.352434,,0.357125,,,1,0.117091,,0.0535873,,0.139589,,0.0579423,,0.0728721,,0.0484622,,0.00881517,4,-0.00467027,4,-0.00297285,4,-0.0102569,4,-0.00170605,4,,1,,1,-0.0171999,4,,1,-0.0437045,4,-0.0869418,2
05/06/2019 17:10:00,05/06/2019 17:55:00,9.99613,,5.75053,,1.31018,,3.03617,,0.0480029,,0.80291,,0.745172,,0.178925,,0.169631,,,1,0.286371,,0.0940898,,0.0756335,,0.0807359,,0.0199568,4,-0.0034491,4,0.00347659,4,-0.00901236,4,9.92E-05,4,,1,,1,-0.0194946,4,,1,-0.0458165,4,-0.0921993,2
05/06/2019 18:14:00,05/06/2019 18:59:00,10.9524,,10.6582,,4.83499,,12.6372,,0.203009,,4.39784,,4.04344,,0.827634,,0.606633,,,1,1.45369,,0.333332,,0.222107,,0.212749,,0.0437839,,-0.000763485,4,0.0333244,,-0.00445655,4,0.0110636,4,,1,,1,-0.015012,4,,1,-0.0418133,4,-0.0913289,2
05/06/2019 19:18:00,05/06/2019 20:03:00,7.78168,,4.31131,,0.888063,,2.09646,,0.0448456,,0.610787,,0.577779,,0.159248,,0.164911,,0.0517444,,0.227691,,0.0996953,,0.0845188,,0.0618254,,0.0105901,4,-0.00274959,4,-0.000350174,4,-0.00887104,4,0.000605593,4,,1,,1,-0.0165574,4,,1,-0.0416658,4,-0.0900828,2
05/06/2019 20:21:00,05/06/2019 21:06:00,4.04457,,1.88468,,0.274021,,0.742933,,0.0364644,,0.255767,,0.252815,,0.100566,,0.113888,,,1,0.141088,,0.0769826,,0.0691176,,0.0561998,,0.0173841,4,-0.00188134,4,0.00302843,4,-0.00948321,4,0.00117941,4,,1,,1,-0.0164448,4,,1,-0.0418007,4,-0.0927814,2
05/06/2019 21:25:00,05/06/2019 22:10:00,3.71925,,1.77207,,0.247159,,0.692677,,0.0276036,4,0.223463,,0.211225,,0.0797853,,0.105475,,,1,0.10046,,0.0484054,,0.0591002,,0.0329296,,-0.000962512,4,-0.00466956,4,-0.0125333,4,-0.0109632,4,-0.00169053,4,,1,,1,-0.0182664,4,,1,-0.0431618,4,-0.0933856,2
05/06/2019 22:29:00,05/06/2019 23:14:00,4.64203,,2.64897,,0.468095,,1.18746,,0.0335646,,0.35275,,0.340562,,0.116018,,0.115947,,,1,0.12698,,0.0637229,,0.0739438,,0.124178,,0.000368654,4,-0.0102604,4,-0.00993499,4,-0.0113191,4,-0.00320559,4,,1,,1,-0.0189871,4,,1,-0.045976,4,-0.0959132,2
