StartTime_[LST],EndTime_[LST],WindSpeed_[m/s],WindDirection_[degrees],RH_[percent],T(ambient)_[C],P(barometric)_[mmHG],T(shelter)_[C],SolarRadiation_[W/m2],VOC(pid)_[ppbV],PM2.5(LTP)_[ug/m3],PM10(LTP)_[ug/m3],CO2_[ppmV],CH4_[ppmV],NO_[ppbV],NO2_[ppbV],NOx_[ppbV],O3_[ppbV]
05/06/2019 10:00:00,05/06/2019 10:00:59,2.54,109,62.9,14.3,642.039,21.3,567.111,7.3375,,,428.55,2.048,-0.011,2.208,2.192,34.516
05/06/2019 10:01:00,05/06/2019 10:01:59,2.54,117.1,62,14.4,642.039,21.3,623.834,7.1333,,,430.65,2.041,-0.042,2.245,2.203,35
05/06/2019 10:02:00,05/06/2019 10:02:59,2.52,127.1,61.6,14.5,642.032,21.3,887.401,7.6,,,433.85,2.038,-0.071,2.28,2.209,35
05/06/2019 10:03:00,05/06/2019 10:03:59,2.44,128.8,61.7,14.6,642.02,21.4,899.79,7.8286,,,430.75,2.034,-0.096,2.303,2.206,34.066
05/06/2019 10:04:00,05/06/2019 10:04:59,2.45,121.2,61.6,14.7,642.004,21.4,923.48,7.6,,,440.45,2.033,-0.114,2.34,2.225,33.166
05/06/2019 10:05:00,05/06/2019 10:05:59,2.36,110.9,61.1,14.6,641.989,21.5,935.336,7.275,,,450.85,2.034,-0.126,2.324,2.197,34.266
05/06/2019 10:06:00,05/06/2019 10:06:59,2.23,115.8,61.2,14.6,641.974,21.6,729.693,7.4667,,,446.15,2.034,-0.149,2.294,2.144,36.216
05/06/2019 10:07:00,05/06/2019 10:07:59,2.07,115.7,61.2,14.7,641.96,21.6,519.921,7.9429,,,438.25,2.032,-0.171,2.29,2.119,36.366
05/06/2019 10:08:00,05/06/2019 10:08:59,1.96,93.5,61.1,14.7,641.945,21.7,517.241,8.3875,,,440.05,2.031,-0.197,2.305,2.107,34.933
05/06/2019 10:09:00,05/06/2019 10:09:59,1.88,108.4,60.8,14.6,641.93,21.7,478.586,7.825,,,437.85,2.034,-0.217,2.287,2.07,33.833
05/06/2019 10:10:00,05/06/2019 10:10:59,1.95,83.7,59.6,14.6,641.915,21.7,462.427,7.5667,,,448.15,2.033,-0.234,2.266,2.029,34.983
05/06/2019 10:11:00,05/06/2019 10:11:59,1.83,37.7,60,14.6,641.899,21.7,658.738,7.4714,,,447.95,2.031,-0.257,2.256,1.997,35.6
05/06/2019 10:12:00,05/06/2019 10:12:59,1.84,70.1,59.3,15,641.884,21.7,748.806,7.5889,,,436.55,2.03,-0.283,2.223,1.94,35.566
05/06/2019 10:13:00,05/06/2019 10:13:59,1.88,96,59.6,15,641.872,21.7,670.267,7.6667,,,427.65,2.029,-0.299,2.227,1.927,35.583
05/06/2019 10:14:00,05/06/2019 10:14:59,1.89,125.6,60,15,641.862,21.7,506.983,7.7833,,,427.95,2.031,-0.272,2.282,2.009,35.533
