StartTime_[LST],EndTime_[LST],ethane_[ppbV],ethane_Flags,propane_[ppbV],propane_Flags,isobutane_[ppbV],isobutane_Flags,n-butane_[ppbV],n-butane_Flags,cyclopentane_[ppbV],cyclopentane_Flags,isopentane_[ppbV],isopentane_Flags,n-pentane_[ppbV],n-pentane_Flags,2-methyl-pentane_[ppbV],2-methyl-pentane_Flags,3-methyl-pentane_[ppbV],3-methyl-pentane_Flags,isoprene_[ppbV],isoprene_Flags,n-hexane_[ppbV],n-hexane_Flags,methyl-cyclopentane_[ppbV],methyl-cyclopentane_Flags,benzene_[ppbV],benzene_Flags,toluene_[ppbV],toluene_Flags,n-octane_[ppbV],n-octane_Flags,ethyl-benzene_[ppbV],ethyl-benzene_Flags,"m,p-xylene_[ppbV]","m,p-xylene_Flags",o-xylene_[ppbV],o-xylene_Flags,n-nonane_[ppbV],n-nonane_Flags,p-ethyl-toluene_[ppbV],p-ethyl-toluene_Flags,"1,2,4-trimethyl-benzene_[ppbV]","1,2,4-trimethyl-benzene_Flags",n-decane_[ppbV],n-decane_Flags,p-diethyl-benzene_[ppbV],p-diethyl-benzene_Flags,n-undecane_[ppbV],n-undecane_Flags,n-dodecane_[ppbV],n-dodecane_Flags
12/04/2019 12:46:50,12/04/2019 13:31:17,165.406,,144.34,,27.4391,,73.3713,,1.5574,,25.3788,,24.655,,6.92199,,5.0529,,0.142168,,8.0836,,2.5601,,1.65171,,3.24484,,0.696405,,0.259142,,0.836979,,0.315726,,0.365064,,0.064326,,0.206408,,0.17453,,0.0222208,4,0.0906472,,0.0536873,
12/04/2019 13:44:12,12/04/2019 14:28:41,294.877,,222.148,,37.9621,,104.075,,2.11808,,37.9515,,38.9695,,9.55153,,8.06973,,0.133745,,12.7659,,3.5046,,2.1137,,4.43384,,0.9156,,0.219796,,0.900529,,0.300335,,0.376308,,0.060442,,0.147223,,0.13726,,0.00897654,4,0.0489548,,0.00591211,4
12/04/2019 14:41:35,12/04/2019 15:26:02,390.205,,313.819,,51.85,,142.983,,2.34806,,48.0242,,50.9166,,10.7982,,8.60972,,0.151516,,13.6674,,3.72025,,2.10324,,3.01609,,0.765467,,0.15755,,0.702022,,0.207432,,0.303537,,0.00710047,4,0.0904111,,0.105197,,-0.014342,4,0.0333864,,-0.0240617,4
12/04/2019 15:38:59,12/04/2019 16:23:27,254.912,,197.692,,33.6811,,91.2,,1.87174,,33.4447,,33.9264,,8.49901,,7.04704,,0.121376,,10.7262,,3.09518,,1.95843,,3.14543,,0.850798,,0.189282,,0.914339,,0.270262,,0.411681,,0.0240427,4,0.143855,,0.154061,,-0.000612789,4,0.0516123,,-0.00971178,4
12/04/2019 16:36:22,12/04/2019 17:20:50,190.173,,162.188,,25.0985,,75.7637,,1.87432,,23.7723,,25.5517,,5.82123,,5.25879,,0.0958871,,8.80149,,2.76107,,1.52627,,4.14149,,1.378,,0.265156,,1.60285,,0.43608,,0.884896,,0.117787,,0.269504,,0.402188,,0.025921,4,0.188453,,0.0553891,
12/04/2019 17:33:42,12/04/2019 18:18:09,202.848,,187.957,,28.732,,87.1804,,2.9521,,32.8456,,36.8221,,7.91083,,7.01418,,0.1613,,10.5958,,4.70714,,1.9026,,3.97916,,0.844767,,0.313184,,1.15431,,0.409761,,0.510407,,0.0684419,,0.308749,,0.268506,,0.0307766,,0.114945,,0.0776884,
12/04/2019 18:30:58,12/04/2019 19:15:25,211.786,,196.402,,29.6124,,94.8793,,2.7356,,32.7229,,34.5714,,7.63108,,6.06339,,0.159698,,9.88827,,4.20111,,1.96542,,4.68293,,1.23676,,0.38739,,1.85442,,0.568205,,0.964159,,0.0262941,4,0.446445,,0.465239,,0.059361,,0.216703,,0.104517,
12/04/2019 19:28:21,12/04/2019 20:12:48,205.511,,166.815,,26.4069,,75.6253,,1.9414,,26.4828,,27.0109,,6.19146,,5.21093,,0.141265,,8.68963,,2.96885,,1.94893,,3.57846,,0.683081,,0.277682,,0.923469,,0.347854,,0.389109,,0.0339634,,0.253917,,0.194275,,-0.0086499,4,0.0991372,,0.0392438,
12/04/2019 20:25:46,12/04/2019 21:10:13,217.794,,220.325,,33.6206,,104.937,,2.87531,,34.7176,,37.1145,,9.39115,,7.05443,,0.188328,,13.3171,,4.46452,,2.77639,,7.30531,,2.714,,0.580106,,3.47648,,0.969307,,1.97028,,0.339264,,0.767075,,0.991512,,0.133808,,0.485561,,0.272446,
12/04/2019 21:23:01,12/04/2019 22:07:29,228.662,,141.235,,30.5946,,84.836,,2.11672,,30.0952,,30.8428,,7.61687,,6.58526,,0.17243,,10.2717,,3.39383,,2.682,,4.63769,,1.77518,,0.351302,,1.62798,,0.511407,,0.808426,,0.184061,,0.37678,,0.393374,,0.0132144,4,0.188839,,0.122288,
12/04/2019 22:20:20,12/04/2019 23:04:46,212.771,,201.009,,30.878,,95.3968,,2.46147,,30.028,,32.273,,7.20087,,5.80096,,0.160261,,9.95442,,3.64906,,2.26,,3.87209,,0.946753,,0.336963,,1.29596,,0.444956,,0.61944,,0.088606,,0.319147,,0.326711,,0.0349123,,0.168445,,0.118824,
12/04/2019 23:17:38,12/05/2019 0:02:06,211.296,,203.671,,33.8538,,111.376,,3.61693,,40.25,,42.6712,,9.26444,,7.88672,,0.203391,,12.1494,,6.80404,,2.68173,,4.45286,,1.2607,,0.430339,,2.38356,,0.609038,,0.956474,,0.214738,,0.46481,,0.476234,,0.0682156,,0.210271,,0.13294,
12/05/2019 0:14:55,12/05/2019 0:59:21,250.439,,221.76,,36.6726,,113.833,,3.21958,,40.0884,,43.093,,10.1997,,8.64335,,0.231603,,13.421,,4.92869,,2.93412,,5.46238,,1.54188,,0.443844,,2.138,,0.669898,,1.04431,,0.256977,,0.504197,,0.544921,,0.085973,,0.278773,,0.183523,
