StartTime_[LST],EndTime_[LST],ethane_[ppbV],ethane_Flags,propane_[ppbV],propane_Flags,isobutane_[ppbV],isobutane_Flags,n-butane_[ppbV],n-butane_Flags,cyclopentane_[ppbV],cyclopentane_Flags,isopentane_[ppbV],isopentane_Flags,n-pentane_[ppbV],n-pentane_Flags,2-methyl-pentane_[ppbV],2-methyl-pentane_Flags,3-methyl-pentane_[ppbV],3-methyl-pentane_Flags,isoprene_[ppbV],isoprene_Flags,n-hexane_[ppbV],n-hexane_Flags,methyl-cyclopentane_[ppbV],methyl-cyclopentane_Flags,benzene_[ppbV],benzene_Flags,toluene_[ppbV],toluene_Flags,n-octane_[ppbV],n-octane_Flags,ethyl-benzene_[ppbV],ethyl-benzene_Flags,"m,p-xylene_[ppbV]","m,p-xylene_Flags",o-xylene_[ppbV],o-xylene_Flags,n-nonane_[ppbV],n-nonane_Flags,p-ethyl-toluene_[ppbV],p-ethyl-toluene_Flags,"1,2,4-trimethyl-benzene_[ppbV]","1,2,4-trimethyl-benzene_Flags",n-decane_[ppbV],n-decane_Flags,p-diethyl-benzene_[ppbV],p-diethyl-benzene_Flags,n-undecane_[ppbV],n-undecane_Flags,n-dodecane_[ppbV],n-dodecane_Flags
05/26/2019 21:54:00,05/26/2019 22:39:00,5.29596,,3.89919,,0.840245,,2.53963,,0.0828671,,0.78398,,0.840517,,0.203512,,0.242381,,,1,0.376337,,0.17553,,0.0918946,,0.145096,,0.0617825,,0.00837876,4,0.0538651,,0.0127494,4,0.0338671,,,1,0.00572855,4,0.00425801,4,,1,-0.0327707,4,-0.0851618,2
05/26/2019 22:56:00,05/26/2019 23:41:00,11.6055,,7.03621,,1.38122,,3.22325,,0.0575634,,0.765805,,0.740549,,0.187404,,0.179936,,,1,0.249452,,0.110573,,0.0846577,,0.0775559,,0.011161,4,-0.00337065,4,0.00719533,4,-0.00798003,4,0.00407542,4,,1,-0.0234532,4,-0.017036,4,,1,-0.0448324,4,-0.0942772,2
05/26/2019 23:58:00,05/27/2019 0:43:00,10.5336,,6.29102,,1.34269,,3.4372,,0.0959358,,1.11579,,1.09648,,0.646463,,0.345735,,,1,0.637612,,0.294065,,0.158036,,0.359692,,0.139662,,0.0341744,,0.204972,,0.049842,,0.140698,,,1,0.0814603,,0.103659,,0.00560945,4,0.0614619,,-0.00619008,2
05/27/2019 1:00:00,05/27/2019 1:45:00,10.4407,,8.22093,,1.84392,,5.02287,,0.158261,,1.94199,,1.84302,,0.449886,,0.458895,,,1,0.865546,,0.530078,,0.215685,,0.458145,,0.0819165,,0.0356851,,0.138856,,0.04676,,0.0835767,,-0.0178426,4,0.0498436,,0.0395366,,0.00782827,4,0.0112051,4,-0.0417302,2
05/27/2019 2:02:00,05/27/2019 2:47:00,22.7506,,21.8172,,4.63852,,11.701,,0.3085,,4.04586,,4.24457,,1.09928,,1.03434,,,1,2.00294,,0.692883,,0.464938,,0.869904,,0.109347,,0.0804879,,0.224512,,0.0910696,,0.0831525,,-0.00193803,4,0.0865987,,0.0609368,,0.00426465,4,0.0260191,4,-0.0464238,2
05/27/2019 3:05:00,05/27/2019 3:49:00,39.3148,,26.4642,,5.42146,,13.4303,,0.305336,,3.79823,,3.80291,,0.830055,,0.825855,,,1,1.75007,,0.990274,,0.330157,,0.61055,,0.243525,,0.0404565,,0.168964,,0.0555056,,0.0914687,,,1,0.0378694,,0.03084,,,1,-0.00849541,4,-0.0646153,2
05/27/2019 4:07:00,05/27/2019 4:52:00,38.0135,,25.5209,,5.12522,,12.7016,,0.319647,,3.86069,,3.91132,,0.913885,,0.879759,,,1,1.99727,,0.739158,,0.415593,,0.813232,,0.268759,,0.0732322,,0.312219,,0.0824574,,0.111408,,-0.0210965,4,0.0707121,,0.0522749,,0.00847606,4,0.0137583,4,-0.0427187,2
05/27/2019 5:09:00,05/27/2019 5:54:00,23.5525,,18.2058,,4.09889,,12.4747,,0.583621,,4.24163,,5.24883,,1.55976,,1.39333,,0.0429423,,3.12946,,2.13639,,0.613125,,1.23567,,0.35342,,0.0757266,,0.322162,,0.0927287,,0.177409,,-0.0182491,4,0.0492751,,0.0494582,,-0.00291324,4,-0.00976632,4,-0.0710531,2
05/27/2019 6:11:00,05/27/2019 6:56:00,26.0747,,18.5296,,3.55139,,9.11377,,0.169611,,2.08833,,2.13641,,0.385155,,0.425802,,,1,0.777987,,0.345724,,0.171033,,0.232787,,0.0610077,,0.00361195,4,0.0176006,4,0.000448114,4,0.0175609,4,,1,-0.0157045,4,-0.0115902,4,,1,-0.0401263,4,-0.0906634,2
05/27/2019 7:13:00,05/27/2019 7:58:00,16.6399,,16.6834,,4.32252,,11.9095,,0.252141,,3.23621,,3.32803,,0.542151,,0.579577,,,1,1.08209,,0.555603,,0.194295,,0.166593,,0.0532239,,0.00164835,4,0.0109056,4,-0.00301825,4,0.00930185,4,,1,-0.0210694,4,-0.0161501,4,,1,-0.0442309,4,-0.0906143,2
