StartTime_[LST],EndTime_[LST],ethane_[ppbV],ethane_Flags,propane_[ppbV],propane_Flags,isobutane_[ppbV],isobutane_Flags,n-butane_[ppbV],n-butane_Flags,cyclopentane_[ppbV],cyclopentane_Flags,isopentane_[ppbV],isopentane_Flags,n-pentane_[ppbV],n-pentane_Flags,2-methyl-pentane_[ppbV],2-methyl-pentane_Flags,3-methyl-pentane_[ppbV],3-methyl-pentane_Flags,isoprene_[ppbV],isoprene_Flags,n-hexane_[ppbV],n-hexane_Flags,methyl-cyclopentane_[ppbV],methyl-cyclopentane_Flags,benzene_[ppbV],benzene_Flags,toluene_[ppbV],toluene_Flags,n-octane_[ppbV],n-octane_Flags,ethyl-benzene_[ppbV],ethyl-benzene_Flags,"m,p-xylene_[ppbV]","m,p-xylene_Flags",o-xylene_[ppbV],o-xylene_Flags,n-nonane_[ppbV],n-nonane_Flags,p-ethyl-toluene_[ppbV],p-ethyl-toluene_Flags,"1,2,4-trimethyl-benzene_[ppbV]","1,2,4-trimethyl-benzene_Flags",n-decane_[ppbV],n-decane_Flags,p-diethyl-benzene_[ppbV],p-diethyl-benzene_Flags,n-undecane_[ppbV],n-undecane_Flags,n-dodecane_[ppbV],n-dodecane_Flags
07/29/2019 14:57:00,07/29/2019 15:42:00,12.4129,,8.66632,,1.9491,,4.79855,,0.0715551,,1.71071,,2.002,,0.360133,,0.397937,,0.120772,,0.700608,,0.194172,,0.119759,,0.166076,,0.0359487,,0.000416315,4,0.0416976,,-0.00534352,4,0.00912627,4,,1,-0.0182269,4,0.0173168,4,0.00338313,4,0.00601953,4,-0.014959,4
07/29/2019 15:54:00,07/29/2019 16:39:00,3.36421,,2.09843,,0.418841,,1.09307,,0.00838514,4,0.426453,,0.413021,,0.0831941,,0.110739,,0.128966,,0.100279,,0.0371892,,0.0171427,4,-0.00795282,4,-0.00736059,4,-0.0040099,4,-0.0140892,4,-0.0172827,4,-0.0102904,4,,1,-0.0272869,4,0.00647117,4,,1,-0.00356348,4,-0.0203266,4
07/29/2019 16:51:00,07/29/2019 17:36:00,1.31803,,0.604662,,0.0867302,,0.245242,,-0.00268806,4,0.134496,,0.0603355,,0.028581,4,0.0396434,,0.228601,,0.0212341,4,0.00547858,4,-0.0060662,4,-0.00636565,4,-0.0113567,4,-0.00640834,4,-0.0229146,4,-0.0175251,4,-0.0112247,4,,1,-0.0264296,4,0.00460021,4,-0.0225928,4,-0.00694109,4,-0.0226152,4
07/29/2019 17:49:00,07/29/2019 18:33:00,1.01034,,0.463771,,0.046952,,0.174453,,-0.00469998,4,0.0988572,,0.0245776,4,0.0207705,4,0.0271809,4,0.213143,,0.00675351,4,-0.00131979,4,0.00299949,4,-0.00784066,4,,1,-0.00466522,4,-0.0243804,4,-0.0216482,4,-0.012448,4,,1,-0.0287154,4,0.0027664,4,,1,-0.00305248,4,-0.0229457,4
07/29/2019 18:46:00,07/29/2019 19:30:00,7.26243,,5.39909,,1.11854,,3.07363,,0.0555737,,1.8697,,1.08072,,0.383081,,0.346931,,1.92115,,0.406885,,0.160247,,0.0992254,,0.546181,,0.0409899,,0.0538366,,0.229098,,0.0601987,,0.00667796,4,,1,0.0305777,,0.0106962,4,,1,0.0099481,4,-0.0162352,4
07/29/2019 19:43:00,07/29/2019 20:27:00,11.5419,,7.78045,,1.69098,,3.84337,,0.0262327,4,1.19677,,1.29771,,0.237372,,0.214387,,0.16025,,0.410213,,0.0946024,,0.0316814,,0.125747,,0.0354944,,-0.00257022,4,0.0102155,4,-0.00675238,4,0.0034652,4,,1,-0.0183769,4,0.0109902,4,,1,-0.00115234,4,-0.0212909,4
07/29/2019 20:40:00,07/29/2019 21:25:00,12.4933,,8.9242,,1.64312,,4.43511,,0.0524968,,1.39047,,1.56444,,0.287524,,0.281429,,0.131713,,0.47448,,0.140837,,0.085067,,0.145638,,0.0334613,,0.00809615,4,0.0143211,4,-0.00544731,4,0.0143889,4,,1,-0.0156331,4,0.0183173,4,-0.0314999,4,0.00561795,4,-0.0196054,4
07/29/2019 21:37:00,07/29/2019 22:22:00,10.0605,,12.0094,,4.26648,,11.6419,,0.284445,,4.89801,,6.45698,,2.48741,,1.35358,,,1,2.68573,,0.614792,,0.477428,,0.806516,,0.248522,,0.0290416,4,0.307968,,0.0553972,,0.12984,,,1,0.0200115,4,0.0680089,,-0.00172359,4,0.0239461,4,-0.00592252,4
07/29/2019 22:35:00,07/29/2019 23:19:00,4.58979,,3.13392,,0.596636,,1.44271,,0.0355412,,0.539707,,0.53641,,0.157129,,0.16879,,0.0267351,4,0.195041,,0.0641902,,0.0656946,,0.0610374,,0.0103846,4,-0.000676434,4,0.00710188,4,-0.00935645,4,0.00449679,4,,1,-0.0107108,4,0.013639,4,-0.0314999,4,-0.00539186,4,-0.0233057,4
07/29/2019 23:32:00,07/30/2019 0:16:00,7.46364,,5.32668,,1.0693,,2.50406,,0.032093,,0.929683,,0.992778,,0.248795,,0.257708,,,1,0.45501,,0.131606,,0.0731151,,0.134097,,0.0269523,4,0.00642441,4,0.0208793,4,-0.00526286,4,0.0122182,4,,1,-0.0117934,4,0.0200416,4,,1,0.00475341,4,-0.00963068,4
