StartTime_[LST],EndTime_[LST],ethane_[ppbV],ethane_Flags,propane_[ppbV],propane_Flags,isobutane_[ppbV],isobutane_Flags,n-butane_[ppbV],n-butane_Flags,cyclopentane_[ppbV],cyclopentane_Flags,isopentane_[ppbV],isopentane_Flags,n-pentane_[ppbV],n-pentane_Flags,2-methyl-pentane_[ppbV],2-methyl-pentane_Flags,3-methyl-pentane_[ppbV],3-methyl-pentane_Flags,isoprene_[ppbV],isoprene_Flags,n-hexane_[ppbV],n-hexane_Flags,methyl-cyclopentane_[ppbV],methyl-cyclopentane_Flags,benzene_[ppbV],benzene_Flags,toluene_[ppbV],toluene_Flags,n-octane_[ppbV],n-octane_Flags,ethyl-benzene_[ppbV],ethyl-benzene_Flags,"m,p-xylene_[ppbV]","m,p-xylene_Flags",o-xylene_[ppbV],o-xylene_Flags,n-nonane_[ppbV],n-nonane_Flags,p-ethyl-toluene_[ppbV],p-ethyl-toluene_Flags,"1,2,4-trimethyl-benzene_[ppbV]","1,2,4-trimethyl-benzene_Flags",n-decane_[ppbV],n-decane_Flags,p-diethyl-benzene_[ppbV],p-diethyl-benzene_Flags,n-undecane_[ppbV],n-undecane_Flags,n-dodecane_[ppbV],n-dodecane_Flags
02/03/2021 11:36,02/03/2021 12:21,1.69748,,0.650065,,0.160076,,0.397593,,0.0108637,4,0.234232,,0.201745,,0.0504609,,0.127482,,0.0386555,,0.0943022,,0.0424708,,0.036218,,0.0642781,,0.0175099,4,-0.00465402,4,0.00402007,4,-0.00660714,4,0.000281081,4,,1,-0.0416419,4,0.00361724,4,,1,0.0440127,,-0.0360438,2
02/03/2021 12:35,02/03/2021 13:20,0.974419,,0.269172,,0.0432475,,0.136589,,-0.00928298,4,-0.0347199,4,0.0511824,,0.0116002,,,1,-0.0639665,4,0.0112298,,,1,0.0211117,4,0.00209823,4,-0.0142952,4,-0.0132377,4,-0.0261133,4,-0.0165459,4,-0.0199541,4,-0.0429348,4,-0.0521437,4,-0.0430811,4,,1,-0.0636079,4,-0.151956,2
02/03/2021 13:34,02/03/2021 14:18,1.14107,,0.26318,,0.038352,,0.051434,,,1,-0.0759391,4,0.0308359,,0.010961,,0.00670637,4,-0.0665521,4,0.00233792,4,,1,0.0206903,4,0.00302512,4,-0.0158284,4,-0.0155344,4,-0.0293631,4,-0.0188886,4,-0.0209547,4,-0.0438345,4,-0.056007,4,-0.0482166,4,,1,-0.0670191,4,-0.159797,2
02/03/2021 14:33,02/03/2021 15:17,1.197,,0.301814,,0.0446382,,0.0501797,,,1,-0.0707491,4,0.0348825,,,1,,1,,1,0.0102335,,,1,0.0262029,4,0.0121582,4,-0.014566,4,-0.0150022,4,-0.0412816,4,-0.0180601,4,-0.0210427,4,-0.0442504,4,-0.0545029,4,-0.0482141,4,,1,-0.0653931,4,-0.161207,2
02/03/2021 16:30,02/03/2021 17:14,1.18331,,0.31704,,0.0466833,,0.0957907,,,1,0.0117536,4,0.037855,,0.0226038,,0.0286913,,-0.0505886,4,0.021158,,,1,0.0342717,,0.032021,,-0.0109431,4,-0.0090564,4,-0.0129615,4,-0.0125607,4,-0.0200916,4,-0.0384315,4,-0.0466758,4,-0.0421852,4,,1,-0.0543332,4,-0.118902,2
02/03/2021 17:29,02/03/2021 18:13,1.95935,,0.777496,,0.119478,,0.230779,,-0.000230534,4,-0.00344612,4,0.0981196,,0.0262885,,0.0599164,,,1,0.0391364,,0.0133068,4,0.0387531,,0.0246028,4,-0.00614384,4,-0.012036,4,-0.0161843,4,-0.0134944,4,-0.0190474,4,-0.0413141,4,-0.0470092,4,-0.0532954,4,,1,-0.0625696,4,-0.146025,2
02/03/2021 18:27,02/03/2021 19:12,3.99016,,2.02852,,0.365429,,0.655886,,0.0126665,4,0.151115,,0.257197,,0.0553999,,0.134343,,,1,0.111884,,0.0436163,,0.0630087,,0.0653445,,0.00858623,4,-0.00761023,4,0.000169622,4,-0.00973116,4,-0.000884313,4,-0.0442504,4,-0.0404956,4,-0.00719824,4,,1,-0.0170614,4,-0.128401,2
02/03/2021 19:26,02/03/2021 20:10,71.441,,42.8983,,7.80308,,23.3622,,0.559426,,6.1501,,6.25201,,1.09781,,3.31601,,,1,2.92936,,1.47537,,0.662018,,1.18272,,1.0712,,0.312134,,0.900194,,0.479521,,1.44963,,,1,1.22343,,4.55005,,,1,11.3997,,9.25647,2
02/03/2021 20:25,02/03/2021 21:09,2.63538,,1.31221,,0.237595,,0.554844,,,1,0.515791,,0.202442,,0.0550253,,0.0388478,,,1,0.0606305,,0.0209525,4,0.0673571,,,1,,1,,1,0.0380174,,0.0110256,4,,1,,1,-0.0319011,4,0.109407,,,1,0.188406,,0.223074,2
02/03/2021 21:23,02/03/2021 22:08,1.60953,,0.609781,,0.0991927,,0.174986,,-0.00202907,4,0.105528,,0.0733052,,0.0233013,,,1,,1,0.0215858,,,1,0.0591487,,0.000753737,4,-0.0129555,4,-0.0157735,4,-0.0297768,4,-0.0199415,4,-0.0192945,4,,1,-0.0547366,4,-0.0345079,4,,1,0.0169509,4,-0.0518188,2
