start,TVOCs,PIDtype
2021-02-06 7:00:26,126.43,SPOD
2021-02-06 7:00:56,126.49,SPOD
2021-02-06 7:01:27,126.59,SPOD
2021-02-06 7:01:57,126.68,SPOD
2021-02-06 7:02:27,126.67,SPOD
2021-02-06 7:02:57,126.69,SPOD
2021-02-06 7:03:27,126.65,SPOD
2021-02-06 7:03:57,126.64,SPOD
2021-02-06 7:04:27,126.68,SPOD
2021-02-06 7:04:57,126.59,SPOD
2021-02-06 7:05:27,126.59,SPOD
2021-02-06 7:05:57,126.67,SPOD
2021-02-06 7:06:28,126.65,SPOD
2021-02-06 7:06:58,126.52,SPOD
2021-02-06 7:07:28,126.45,SPOD
2021-02-06 7:07:58,126.27,SPOD
2021-02-06 7:08:28,126.29,SPOD
2021-02-06 7:08:58,126.24,SPOD
2021-02-06 7:09:33,126.33,SPOD
2021-02-06 7:10:03,126.37,SPOD
2021-02-06 7:10:33,126.48,SPOD
2021-02-06 7:11:03,126.56,SPOD
2021-02-06 7:11:33,126.59,SPOD
2021-02-06 7:12:03,126.45,SPOD
2021-02-06 7:12:33,126.29,SPOD
2021-02-06 7:13:04,126.18,SPOD
2021-02-06 7:13:34,126.18,SPOD
2021-02-06 7:14:04,126.24,SPOD
2021-02-06 7:14:34,126.3,SPOD
2021-02-06 7:15:04,126.19,SPOD
2021-02-06 7:15:34,126.24,SPOD
2021-02-06 7:16:04,126.26,SPOD
2021-02-06 7:16:34,126.29,SPOD
2021-02-06 7:17:04,126.24,SPOD
2021-02-06 7:17:35,126.15,SPOD
2021-02-06 7:18:05,126.14,SPOD
2021-02-06 7:18:35,126.19,SPOD
2021-02-06 7:19:05,126.19,SPOD
2021-02-06 7:19:35,126.17,SPOD
2021-02-06 7:20:05,126.19,SPOD
2021-02-06 7:20:35,126.2,SPOD
2021-02-06 7:21:05,126.23,SPOD
2021-02-06 7:21:35,126.28,SPOD
2021-02-06 7:22:05,126.26,SPOD
2021-02-06 7:22:36,126.33,SPOD
2021-02-06 7:23:06,126.43,SPOD
2021-02-06 7:23:36,126.55,SPOD
2021-02-06 7:24:06,126.7,SPOD
2021-02-06 7:24:36,126.98,SPOD
2021-02-06 7:25:09,127.22,SPOD
2021-02-06 7:25:49,127.31,SPOD
2021-02-06 7:26:19,127.46,SPOD
2021-02-06 7:26:49,127.51,SPOD
2021-02-06 7:27:19,127.44,SPOD
2021-02-06 7:27:49,127.43,SPOD
2021-02-06 7:28:19,127.5,SPOD
2021-02-06 7:28:50,127.55,SPOD
2021-02-06 7:29:20,127.54,SPOD
2021-02-06 7:29:50,127.55,SPOD
2021-02-06 7:30:20,127.67,SPOD
2021-02-06 7:30:50,127.73,SPOD
2021-02-06 7:31:20,127.77,SPOD
