Timestamp,,Industry location name?,What is the event?,What is the start date for this event? (MST),What is the start time for this event? (MST) ,"If applicable, what is the stop date? (MST) (include for calibrations and remove data events)","If applicable, what is the stop time? (MST) (include for calibrations and remove data events)",Is this setup for a canister or tube trigger?,Reading (in mV) at 0.5 ppm,Reading (in mV) at 1 ppm ,Reading (in mV) at 2 ppm,Upload files here (max 10 photos):,Email Address,SPOD Meteorological Data,Transfer Standard Meteorological Data,Meteorological Sighting ,Calibration Gas Cylinder Information,PID hours,Site Location
7/26/2021 16:44:57,SPOD 1033,Air Products - Cahone,Monitoring begins (for this device),6/29/2020,4:30:00 PM,,,No,,,,"https://drive.google.com/open?id=1js658rlmSzgO3i3vFefu-1hkhbqjiIq9, https://drive.google.com/open?id=1IVwYMHG4-RLtk63zV7b_I36GE3sMAj14, https://drive.google.com/open?id=17qPNnqZCXpl99jDBTSA33VcTwZRgmSrT, https://drive.google.com/open?id=1-BWGj2Do665eCOCteK1v8gneT4KJ1wR9",alicia.frazier@state.co.us,,,,,,
7/26/2021 16:46:24,SPOD 1033,Air Products - Cahone,End of monitoring (for this device),9/21/2020,3:30:00 PM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
7/26/2021 17:05:34,SPOD 1034,Air Products - Cahone,Monitoring begins (for this device),6/29/2020,8:00:00 PM,,,Yes,,,,,alicia.frazier@state.co.us,,,,,,
7/26/2021 17:06:50,SPOD 1034,Air Products - Cahone,End of monitoring (for this device),9/21/2020,4:30:00 PM,,,Yes,,,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 12:04:33,SPOD 1034,Cub Creek - Knight Pad,Monitoring begins (for this device),1/29/2021,12:00:00 PM,,,Yes,,,,"https://drive.google.com/open?id=1U4-lVP4NxqvEPexmxfwK2edy8ZjKNmfE, https://drive.google.com/open?id=1mBO_dKXm0H3vv3cxLyQTkdJuSit7i8zO, https://drive.google.com/open?id=1zBkcMtS1QKWIctwOJwA5WuKinPQRfmqN, https://drive.google.com/open?id=1SElwWYlOsVdkidBQGJaHa8kbVnhJOnyf, https://drive.google.com/open?id=1jjzdj6gxy6ekyr27VcyrITxlTz0UYDVa, https://drive.google.com/open?id=1WWgDZvvShtG_SMt_YKAFOQ96lTHQSuMt, https://drive.google.com/open?id=1YiUxeD-XO2_Lb3ZWaVhJCrSk14LLnE4i, https://drive.google.com/open?id=1oGhqgl-aHo1BWe5a-8p317p6HJvnr_8H, https://drive.google.com/open?id=1KTOlbsCgOw9nGacMM-R6Sy6Uyvm3PoOn, https://drive.google.com/open?id=1Fbhvr3Q79PbDR_22RT_WoYQXepmOUd6_",alicia.frazier@state.co.us,,,,,,
7/29/2021 12:06:14,SPOD 1034,Cub Creek - Knight Pad,Bump check,2/11/2021,9:30:00 AM,2/11/2021,9:45:00 AM,Yes,,,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 12:09:10,SPOD 1034,Cub Creek - Knight Pad,End of monitoring (for this device),3/5/2021,2:00:00 PM,,,,,,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 13:25:02,SPOD 1033,Cub Creek - Knight Pad,Monitoring begins (for this device),2/26/2021,12:00:00 PM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 13:26:28,SPOD 1033,Cub Creek - Knight Pad,End of monitoring (for this device),3/3/2021,1:20:00 PM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 13:50:06,SPOD 1001,Cub Creek - Knight Pad,Monitoring begins (for this device),3/5/2021,4:30:00 PM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 13:51:50,SPOD 1001,Cub Creek - Knight Pad,End of monitoring (for this device),3/10/2021,3:30:00 PM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 13:56:41,SPOD 1033,Cub Creek - Knight Pad,Monitoring begins (for this device),3/10/2021,12:00:00 PM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 14:04:29,SPOD 1033,Cub Creek - Knight Pad,This unit was moved from the rooftop of the CAMML to ground level as the CAMML was leaving the site.,4/7/2021,9:00:00 AM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 14:07:05,SPOD 1033,Cub Creek - Knight Pad,Monitoring begins (for this device),4/7/2021,10:30:00 AM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 14:08:22,SPOD 1033,Cub Creek - Knight Pad,End of monitoring (for this device),5/13/2021,10:30:00 AM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 14:20:13,SPOD 1002,Cub Creek - Knight Pad,Monitoring begins (for this device),5/13/2021,11:15:00 AM,,,,513,1040,1675,,alicia.frazier@state.co.us,,,,,,
7/29/2021 14:48:17,SPOD 1002,Cub Creek - Knight Pad,End of monitoring (for this device),6/9/2021,7:00:00 PM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
7/29/2021 15:32:52,Canary D-004,Cub Creek - Knight Pad,Monitoring begins (for this device),7/28/2021,1:00:00 PM,,,No,68.12,78.23,96.44,,alicia.frazier@state.co.us,,,,,,
10/25/2021 13:38:12,SPOD 1002,Cub Creek - Knight Pad,Monitoring begins (for this device),9/16/2021,11:00:00 AM,,,No,411,792,1550,,alicia.frazier@state.co.us,,,,,,
10/25/2021 13:42:56,Canary D-004,Cub Creek - Knight Pad,End of monitoring (for this device),9/16/2021,10:00:00 AM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
11/29/2021 13:01:15,SPOD 1002,Cub Creek - Knight Pad,Bump check,10/21/2021,12:35:00 PM,10/21/2021,12:45:00 PM,No,456,,,,alicia.frazier@state.co.us,,,,,,
12/15/2021 17:40:06,SPOD 1002,Cub Creek - Knight Pad,Bump check,12/9/2021,1:45:00 PM,12/9/2021,2:00:00 PM,No,,774.4,,,alicia.frazier@state.co.us,,,,,,
7/26/2021 16:27:01,SPOD 1035,DCP Midstream-Mewborne,End of monitoring (for this device),1/5/2021,1:14:00 PM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
7/26/2021 16:28:23,SPOD 1035,DCP Midstream-Mewborne,Monitoring begins (for this device),6/5/2020,8:00:00 AM,,,No,,,,https://drive.google.com/open?id=1aG7OFzA2Kg_lpfLMX7B09357tZp4a_li,alicia.frazier@state.co.us,,,,,,
7/26/2021 17:26:49,SPOD 1033,Ivey - CAMML,Bump check,2/2/2021,9:00:00 AM,2/2/2021,11:00:00 AM,No,,430,,,alicia.frazier@state.co.us,,,,,,
7/26/2021 17:28:38,SPOD 1033,Ivey - CAMML,End of monitoring (for this device),2/26/2021,7:00:00 AM,,,No,,,,,alicia.frazier@state.co.us,,,,,,
