year,company_name,pad_name_sampling_log,pad_lat,pad_lon,camml_lat,camml_lon,distance_to_source_ft,source_direction_degrees,ambient_sampling_start_date,ambient_sampling_end_date,operational_phase,voc_data_version,other_data_version,data_revision_notes,report_s,report_data_version,figures_link,calibration_tank_number_sn,hours_deployed,number_of_ambient_samples,deployment_id,pad_name,deployment_name
2017,Crestone,Woolley Sosa,NA,NA,40.06,-105.06,NA,NA,2017-03-07T13:05:00Z,2017-03-23T07:59:00Z,Drilling,r1,r1,N/A,NA,NA,N/A,1/480446,379,128,1,Woolley Sosa,Crestone_Woolley Sosa_Drilling
2017,Crestone,Waste Connections,40.02,-105.03,40.01,-105.03,1842,14,2017-06-08T12:06:00Z,2017-06-14T08:20:00Z,Drilling,r1,r1,N/A,07/2017_Report,NA,N/A,2,140,86,2,Waste Connections,Crestone_Waste Connections_Drilling
2017,Crestone,Pratt,40.02,-105.02,40.01,-105.02,1146,34,2017-07-27T16:16:00Z,2017-08-14T08:08:00Z,Drilling,r1,r1,N/A,05/2017_Report,N/A,N/A,2,424,NA,3,Pratt,Crestone_Pratt_Drilling
2017,Crestone,Pratt,40.02,-105.02,40.01,-105.02,1147,34,2017-10-13T12:10:00Z,2017-10-26T08:46:00Z,Hydraulic Fracturing,r1,r2,N/A,11/2017_Report,N/A,N/A,2,309,207,4,Pratt,Crestone_Pratt_Hydraulic Fracturing
2017,Crestone,Pratt,40.02,-105.02,40.01,-105.02,1146,34,2017-10-26T14:29:00Z,2017-11-16T09:10:00Z,FlowBack,r1,r2,N/A,10/2018_Report,N/A,N/A,2,499,391,5,Pratt,Crestone_Pratt_FlowBack
2018,N/A,Platteville,NA,NA,40.18,-104.73,NA,NA,2018-05-16T09:20:00Z,2018-05-23T08:06:00Z,Weld County Regional,NA,NA,N/A,N/A,N/A,N/A,2,167,118,6,Platteville,N/A_Platteville_Weld County Regional
2018,N/A,Platteville,NA,NA,40.18,-104.73,NA,NA,2018-08-27T13:07:00Z,2018-09-03T12:48:00Z,Weld County Regional,NA,NA,N/A,N/A,N/A,N/A,2,168,130,7,Platteville,N/A_Platteville_Weld County Regional
2018,Great Western,Dittmer,40.01,-104.8,40.01,-104.8,1518,255,2018-09-04T15:19:00Z,2018-09-07T10:02:00Z,Drilling,r1,r1,N/A,12/2018_Report,NA,N/A,2,67,52,8,Dittmer,Great Western_Dittmer_Drilling
2018,Extraction,Livingston,39.98,-105.04,39.98,-105.04,0,#DIV/0!,2018-10-31T13:13:00Z,2018-11-16T09:04:00Z,Baseline (Fall),r2,r1,Reporting Log,10/2019 Report,r2,Figures,2,0,386,9,Livingston,Extraction_Livingston_Baseline (Fall)
2018,Extraction,Rinn Valley,40.13,-105.04,40.13,-105.06,4310,86,2018-12-20T13:02:00Z,2019-01-10T09:16:00Z,Flowback,r2,r1,Reporting Log,03/2019_Report,??,Figures,2,500,477,10,Rinn Valley,Extraction_Rinn Valley_Flowback
